,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.94,0.75,0.36,0.4,0.4,0.26,0.29,0.3,0.3,0.29,0.31,0.17,0.2,0.2,0.13,0.19
e_1,0.42,0.95,0.4,0.5,0.4,0.34,0.32,0.3,0.49,0.3,0.31,0.29,0.23,0.27,0.15,0.22
d_1,0.58,0.45,0.95,0.36,0.41,0.29,0.33,0.5,0.18,0.23,0.34,0.29,0.27,0.28,0.23,0.23
c_1,0.46,0.43,0.45,0.95,0.71,0.28,0.29,0.2,0.25,0.25,0.22,0.3,0.21,0.21,0.21,0.17
b_1,0.51,0.47,0.49,0.37,0.94,0.59,0.29,0.3,0.31,0.29,0.2,0.24,0.17,0.29,0.21,0.27
a_1,0.65,0.43,0.57,0.55,0.35,0.94,0.41,0.35,0.35,0.32,0.33,0.28,0.17,0.32,0.26,0.27
h_1,0.95,0.72,0.67,0.69,0.59,0.42,0.76,0.47,0.49,0.47,0.48,0.39,0.35,0.32,0.3,0.42
c_0,0.79,0.78,0.74,0.62,0.55,0.52,0.54,0.68,0.48,0.48,0.78,0.41,0.45,0.42,0.33,0.38
d_0,0.76,0.64,0.61,1.23,0.68,0.49,0.5,0.39,0.68,0.44,0.44,0.44,0.34,0.41,0.32,0.37
g_1,0.66,0.61,1.04,0.77,0.63,0.48,0.51,0.47,0.46,0.76,0.47,0.62,0.37,0.4,0.33,0.32
b_0,0.81,0.81,0.76,0.84,0.47,0.49,0.55,0.47,0.53,0.49,0.68,0.48,0.63,0.43,0.33,0.39
f_0,0.75,0.66,0.78,0.82,0.79,0.58,0.62,0.51,0.49,0.41,0.42,0.68,0.39,0.46,0.67,0.38
a_0,1.04,0.91,0.94,0.81,0.74,0.53,0.64,0.54,0.63,0.47,0.46,0.42,0.63,0.54,0.38,0.42
h_0,1.09,0.87,0.88,0.86,0.65,0.64,0.39,0.57,0.6,0.59,0.59,0.46,0.38,0.38,0.4,0.5
e_0,1.14,0.62,0.73,0.92,0.84,0.64,0.67,0.63,0.58,0.56,0.65,0.39,0.44,0.56,0.65,0.48
g_0,0.88,0.86,1.25,0.95,0.64,0.62,0.57,0.6,0.54,0.39,0.56,0.67,0.4,0.42,0.43,0.36
