,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,0.66,1.54,1.43,1.18,1.17,1.05,0.6,0.4,0.51,0.76,0.48,0.43,0.34,0.43,0.42,0.26
e_1,1.33,0.66,0.86,1.46,1.43,1.17,0.69,0.66,0.47,0.56,0.47,0.61,0.42,0.48,0.69,0.45
f_1,1.19,1.46,0.65,1.36,1.28,1.06,0.45,0.87,0.47,0.46,0.45,0.68,0.29,0.42,0.4,0.37
c_1,1.61,1.18,1.34,0.63,1.63,1.31,0.63,0.52,0.59,0.32,0.49,0.52,0.37,0.43,0.4,0.43
b_1,1.56,1.33,1.57,0.9,0.61,1.97,0.67,0.66,0.58,0.53,0.87,0.51,0.39,0.5,0.61,0.5
a_1,1.92,1.57,2.07,1.65,0.88,0.57,0.75,0.78,0.62,0.68,0.76,0.52,0.73,0.9,0.58,0.53
h_1,1.79,1.97,2.58,1.9,1.7,1.67,0.57,1.04,0.77,0.72,0.69,0.6,0.78,0.56,0.58,0.65
g_1,2.22,2.09,2.19,2.32,2.02,1.78,0.74,0.54,0.81,0.7,0.8,0.75,0.52,0.76,0.84,0.71
c_0,1.42,2.36,2.25,3.13,2.2,2.11,1.03,0.94,0.61,1.05,0.88,0.75,0.64,0.67,0.77,0.6
d_0,2.83,1.4,2.28,2.9,2.37,1.89,1.05,1.2,0.77,0.61,0.81,0.84,0.71,0.74,0.87,0.75
b_0,1.85,2.26,2.29,2.84,2.7,1.94,1.01,1.04,0.52,0.98,0.59,0.81,0.97,0.95,0.78,0.69
f_0,2.23,1.94,3.3,2.2,2.42,2.28,1.11,0.76,0.86,0.88,0.91,0.58,0.81,0.77,0.94,0.5
h_0,2.67,2.36,2.87,2.68,2.9,1.69,1.46,1.23,0.91,0.91,0.75,0.76,0.95,0.78,0.72,0.82
a_0,2.37,2.31,3.0,3.1,3.31,2.77,1.53,1.05,0.87,1.0,0.56,0.89,0.74,0.58,0.84,0.65
e_0,2.54,3.63,3.47,3.16,2.11,1.95,1.18,0.98,0.9,0.84,1.03,0.5,0.98,0.91,0.56,0.76
g_0,2.75,2.5,3.49,2.53,2.34,2.12,0.99,1.45,1.0,0.92,0.87,1.14,0.66,1.05,0.88,0.81
