,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,0.41,0.43,0.69,0.82,0.73,0.66,0.39,0.39,0.4,0.28,0.38,0.33,0.28,0.37,0.27,0.32
f_1,0.76,0.4,0.59,0.69,0.67,0.53,0.28,0.35,0.37,0.3,0.37,0.28,0.21,0.26,0.31,0.27
d_1,0.71,0.77,0.39,0.65,0.64,0.61,0.33,0.37,0.25,0.34,0.29,0.33,0.24,0.3,0.27,0.18
c_1,0.53,0.74,0.85,0.39,0.78,0.6,0.37,0.2,0.35,0.34,0.28,0.25,0.26,0.27,0.27,0.28
b_1,0.65,0.81,0.69,0.42,0.36,0.89,0.39,0.3,0.39,0.42,0.3,0.41,0.29,0.35,0.29,0.26
a_1,0.73,0.83,0.72,0.72,0.37,0.31,0.41,0.35,0.36,0.31,0.28,0.45,0.26,0.37,0.43,0.27
h_1,0.61,0.69,0.64,0.61,0.6,0.62,0.24,0.27,0.42,0.28,0.27,0.26,0.25,0.26,0.24,0.26
d_0,0.42,0.6,0.78,0.77,0.69,0.58,0.39,0.24,0.41,0.25,0.31,0.29,0.24,0.31,0.31,0.29
g_1,0.66,0.66,0.74,0.7,0.59,0.63,0.25,0.27,0.22,0.29,0.31,0.25,0.19,0.23,0.23,0.23
c_0,0.68,0.62,0.4,1.01,0.6,0.74,0.37,0.4,0.36,0.23,0.3,0.36,0.25,0.28,0.28,0.25
f_0,0.54,0.75,0.67,0.65,0.67,0.58,0.36,0.27,0.25,0.28,0.22,0.28,0.24,0.37,0.3,0.18
b_0,0.57,0.63,0.52,0.87,0.75,0.55,0.35,0.28,0.37,0.17,0.27,0.21,0.26,0.28,0.31,0.27
h_0,0.6,0.65,0.63,0.63,0.59,0.55,0.4,0.29,0.4,0.28,0.3,0.29,0.27,0.25,0.28,0.26
e_0,0.68,0.88,0.6,0.68,0.54,0.55,0.34,0.3,0.36,0.31,0.17,0.27,0.25,0.19,0.32,0.23
a_0,0.64,0.58,0.61,0.78,0.73,0.68,0.34,0.25,0.38,0.23,0.26,0.16,0.27,0.21,0.19,0.21
g_0,0.61,0.66,0.65,0.61,0.6,0.61,0.26,0.29,0.41,0.28,0.31,0.27,0.2,0.26,0.3,0.26
