,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.25,0.88,0.95,0.88,0.7,0.33,0.41,0.37,0.38,0.35,0.33,0.3,0.3,0.23,0.3
e_1,0.8,1.0,0.97,1.05,0.98,0.78,0.51,0.58,0.38,0.43,0.36,0.39,0.32,0.37,0.35,0.3
d_1,1.14,1.01,1.0,1.04,0.94,0.75,0.44,0.42,0.62,0.34,0.46,0.37,0.35,0.3,0.32,0.25
c_1,1.05,0.97,0.96,1.0,1.36,0.78,0.52,0.32,0.44,0.39,0.33,0.36,0.36,0.28,0.33,0.32
b_1,1.13,1.01,1.07,0.74,1.0,1.18,0.59,0.5,0.51,0.53,0.5,0.38,0.41,0.32,0.31,0.33
a_1,1.43,1.28,1.36,1.28,0.85,1.0,0.9,0.71,0.56,0.63,0.63,0.58,0.5,0.46,0.49,0.5
h_1,2.87,1.95,2.21,1.92,1.7,1.16,1.0,0.83,0.9,1.03,0.9,0.7,0.7,0.65,0.63,0.71
d_0,2.28,1.76,2.65,3.31,2.11,1.42,1.16,1.0,0.72,0.86,0.86,0.9,0.82,0.69,0.74,0.75
c_0,2.61,2.67,1.56,2.17,2.02,1.75,1.13,1.46,1.0,1.03,1.31,0.78,0.78,0.78,0.71,0.77
g_1,2.46,2.34,3.06,2.41,2.04,1.55,0.97,1.08,0.97,1.0,0.95,1.17,0.79,0.74,0.82,0.79
b_0,3.08,2.79,2.23,3.09,1.97,1.57,1.09,1.14,0.79,1.17,1.0,0.92,0.86,1.05,0.87,0.86
f_0,3.32,2.3,2.66,2.83,2.56,1.77,1.32,1.17,1.24,0.88,1.05,1.0,1.0,0.76,1.28,0.62
h_0,3.35,2.99,2.76,2.76,2.56,2.1,1.43,1.3,1.28,1.25,1.18,1.01,1.0,0.83,0.78,1.09
a_0,3.21,2.88,3.23,3.34,3.17,2.09,1.47,1.39,1.4,1.28,0.99,1.22,1.27,1.0,0.91,1.05
e_0,4.49,3.09,3.2,3.16,3.48,2.12,1.59,1.29,1.4,1.17,1.23,0.77,1.37,1.08,1.0,0.95
g_0,3.36,3.26,3.86,3.18,3.17,1.97,1.35,1.36,1.29,1.3,1.17,1.53,0.91,1.01,1.15,1.0
