,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,0.42,0.59,0.9,1.17,1.0,0.84,0.27,0.31,0.22,0.19,0.27,0.19,0.14,0.27,0.15,0.2
f_1,0.91,0.41,0.86,0.98,0.88,0.78,0.21,0.31,0.21,0.19,0.26,0.18,0.1,0.2,0.16,0.17
d_1,1.14,1.02,0.4,0.97,0.92,0.87,0.23,0.17,0.3,0.17,0.17,0.19,0.13,0.19,0.09,0.17
c_1,0.78,0.99,1.26,0.41,0.88,0.97,0.27,0.24,0.11,0.23,0.19,0.19,0.14,0.19,0.14,0.19
b_1,0.98,1.0,1.15,0.64,0.39,0.95,0.33,0.32,0.2,0.3,0.22,0.3,0.17,0.23,0.17,0.22
a_1,1.31,1.51,1.4,1.08,0.69,0.33,0.37,0.38,0.28,0.3,0.26,0.3,0.19,0.22,0.19,0.32
h_1,1.68,1.79,1.6,1.97,1.78,1.5,0.28,0.5,0.4,0.36,0.35,0.37,0.29,0.31,0.24,0.3
g_1,1.83,2.17,1.78,1.93,1.84,1.72,0.42,0.27,0.37,0.32,0.4,0.36,0.21,0.33,0.3,0.3
d_0,1.29,1.98,2.55,2.14,2.09,1.72,0.65,0.67,0.3,0.38,0.46,0.44,0.3,0.46,0.33,0.4
c_0,2.2,2.01,1.36,2.97,2.34,1.77,0.55,0.52,0.57,0.29,0.45,0.43,0.35,0.46,0.27,0.41
f_0,1.98,2.51,1.99,2.13,2.36,1.82,0.54,0.38,0.4,0.38,0.29,0.38,0.32,0.4,0.19,0.37
b_0,1.98,2.11,1.7,2.92,2.88,1.89,0.58,0.53,0.53,0.26,0.46,0.28,0.31,0.4,0.31,0.38
h_0,2.32,2.45,2.31,2.45,2.23,2.2,0.75,0.63,0.51,0.45,0.55,0.44,0.43,0.48,0.36,0.4
e_0,2.87,3.64,2.15,2.5,2.34,2.15,0.77,0.55,0.58,0.49,0.28,0.46,0.4,0.25,0.31,0.38
g_0,2.61,3.2,2.31,2.98,2.65,2.17,0.56,0.73,0.56,0.51,0.49,0.54,0.32,0.5,0.38,0.49
a_0,2.35,2.62,2.35,2.66,3.42,3.25,0.76,0.66,0.53,0.43,0.48,0.3,0.33,0.53,0.39,0.26
