,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.5,0.14,0.17,0.2,0.14,0.15,0.23,0.32,0.16,0.17,0.17,0.25,0.21,,0.12,0.17
f_1,0.34,1.52,0.16,0.12,0.12,0.14,0.18,0.18,0.19,0.27,,0.15,0.19,0.16,0.15,0.18
d_1,0.15,0.2,1.53,0.16,0.16,0.12,0.21,,0.19,0.35,0.18,0.19,0.2,0.19,0.13,0.16
c_1,0.12,0.19,0.17,1.53,0.28,0.12,0.2,0.16,0.13,,0.24,0.19,0.28,0.16,0.16,0.21
b_1,0.17,0.19,0.18,0.14,1.59,0.22,0.22,0.22,0.18,0.21,0.2,,0.2,0.19,0.15,0.2
a_1,0.18,0.19,0.22,0.19,0.12,1.73,0.2,0.23,0.18,0.17,0.15,0.25,0.29,,,0.19
h_1,0.32,0.46,0.36,0.44,0.34,0.29,1.63,0.47,0.55,0.4,0.42,0.4,,0.44,0.39,0.64
d_0,0.44,0.42,,0.76,0.43,0.38,0.53,1.4,0.58,0.44,0.54,0.55,0.52,0.41,0.54,0.44
g_1,0.43,0.34,0.48,0.47,0.34,0.31,0.4,0.38,1.7,0.51,0.76,0.36,0.43,0.37,0.39,
c_0,0.59,0.4,0.39,,0.37,0.32,0.64,0.59,0.49,1.42,0.63,0.7,0.64,0.41,0.38,0.61
f_0,0.42,,0.54,0.4,0.48,0.56,0.49,0.6,0.41,0.43,1.47,0.57,0.59,0.84,0.59,0.5
b_0,0.33,0.69,0.42,0.43,,0.27,0.55,0.65,0.54,0.52,0.48,1.51,0.59,0.47,0.76,0.62
h_0,0.6,0.77,0.64,0.5,0.52,0.45,,0.94,0.8,0.76,0.66,0.66,,0.34,0.53,0.79
e_0,,0.37,0.34,0.5,0.43,,0.6,0.69,0.57,0.67,0.41,0.53,1.01,1.63,,0.78
a_0,0.52,0.54,0.45,0.51,0.59,,0.67,0.6,0.61,0.67,0.42,0.47,0.67,,1.55,0.7
g_0,0.57,0.55,0.91,0.53,0.62,0.5,0.6,0.76,,0.8,0.92,0.58,0.78,0.47,0.56,
