,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,5.66,0.04,0.07,0.08,0.08,0.04,0.36,0.68,0.27,0.4,0.39,0.44,0.56,0.41,,0.47
d_1,0.07,5.96,0.09,0.06,0.08,0.06,0.29,,0.28,0.64,0.33,0.53,0.49,0.39,0.46,0.73
f_1,0.11,0.07,6.09,0.07,0.08,0.07,0.25,0.43,0.22,0.36,0.47,,0.6,0.47,0.39,0.58
c_1,0.08,0.08,0.07,6.52,0.15,0.09,0.33,0.4,0.29,,0.28,0.32,0.48,0.33,0.38,0.82
b_1,0.07,0.09,0.08,0.07,7.51,0.14,0.29,0.35,0.35,0.4,,0.42,0.59,0.25,0.39,0.47
a_1,0.11,0.07,0.08,0.1,0.06,10.86,0.24,0.25,0.34,0.38,,0.28,0.74,,,0.46
h_1,0.28,0.31,0.44,0.29,0.27,0.3,13.76,1.35,1.44,1.28,1.73,1.44,,1.36,1.46,1.57
d_0,0.43,,0.39,0.68,0.35,0.44,1.78,11.42,1.19,1.61,2.11,1.44,3.54,1.84,1.41,2.49
g_1,0.24,0.5,0.24,0.32,0.26,0.32,0.86,1.33,16.95,1.27,1.21,2.34,1.57,1.41,1.61,
c_0,0.3,0.47,0.5,,0.38,0.34,1.32,1.72,1.73,11.87,2.9,2.35,3.52,1.4,1.41,2.77
b_0,0.45,0.38,0.34,0.4,,,1.82,1.63,1.15,2.13,14.11,2.08,3.26,3.69,1.33,2.7
f_0,0.44,0.37,,0.36,0.4,0.4,1.38,1.82,1.45,2.48,2.08,14.65,2.29,2.21,3.51,2.29
h_0,0.58,0.69,0.65,0.52,0.49,0.77,,3.13,2.65,1.58,2.52,2.29,,3.35,2.96,7.52
a_0,0.41,0.36,0.31,0.51,0.27,,1.43,2.19,1.32,2.43,1.34,1.97,4.57,19.43,,
e_0,,0.33,0.43,0.25,0.32,,1.77,2.92,1.33,2.12,2.29,1.63,2.79,,22.97,3.26
g_0,0.41,0.82,0.54,0.49,0.59,0.54,2.27,2.4,,3.69,3.06,2.93,5.18,,3.26,
