,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.45,2.31,4.42,5.13,4.32,5.3,1.28,1.28,0.98,0.8,1.1,0.8,0.59,0.82,2.35,0.65
f_1,4.11,0.45,4.43,3.83,3.87,3.68,1.03,1.3,0.84,0.9,2.95,0.98,0.43,0.97,0.71,0.74
d_1,5.7,4.44,0.42,4.53,6.12,4.66,1.12,0.78,3.93,0.87,0.78,0.9,0.64,0.71,1.04,0.34
c_1,4.81,4.66,6.87,0.4,4.81,3.77,1.2,1.95,0.49,4.27,0.79,1.02,0.58,1.01,1.13,0.57
b_1,4.65,5.41,4.81,2.81,0.39,5.47,1.48,1.91,0.88,1.08,1.35,4.09,0.89,1.17,0.94,0.84
a_1,6.35,8.22,5.61,7.49,3.32,0.32,1.97,1.86,1.45,1.14,1.87,1.22,0.89,4.21,1.0,1.29
h_1,4.34,5.21,5.47,5.55,4.42,4.43,0.36,1.44,1.0,1.03,0.84,1.13,2.84,0.9,0.78,0.69
g_1,4.81,6.41,4.56,7.1,5.22,7.48,1.21,0.33,1.28,1.0,1.18,1.02,0.67,1.01,1.19,2.25
d_0,2.65,6.94,13.19,5.94,5.93,6.44,1.68,2.1,0.47,1.37,1.06,1.09,0.89,1.21,1.07,1.07
c_0,6.44,7.48,2.69,22.25,5.34,4.95,1.69,1.7,1.25,0.43,1.04,1.45,1.06,1.61,1.09,1.09
f_0,5.16,17.86,5.18,5.85,5.35,5.96,1.74,0.89,1.17,1.22,0.4,1.13,0.86,1.25,0.93,0.82
b_0,5.98,6.32,5.2,8.03,14.89,5.68,1.83,1.44,1.45,0.65,0.9,0.38,0.93,1.27,1.39,0.88
h_0,6.08,7.61,5.61,6.34,7.41,7.81,5.65,2.34,1.37,1.43,1.44,1.09,2.59,1.15,1.3,1.09
a_0,6.13,10.34,7.93,5.69,7.75,19.85,2.54,1.65,1.39,1.27,1.25,0.76,1.06,0.37,1.1,0.92
e_0,16.39,8.47,6.96,6.07,7.93,10.37,1.86,1.53,1.74,1.79,0.65,1.39,1.19,1.1,0.36,0.92
g_0,9.75,7.12,7.32,6.98,7.47,6.66,1.71,6.21,1.61,1.49,1.26,1.6,0.96,1.79,1.27,3.88
