,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,12744.06,8863.37,6784.66,7220.04,11962.46,78333.03,7570921.73,15217811.54,24618267.06,27206370.23,23487029.76,57797883.25,149490943.96,151935577.17,245561007.99,439077068.87
e_1,6270.1,12796.89,9172.88,6505.8,13902.86,86964.51,7010943.3,15484218.98,37786658.5,26744796.21,35389716.21,55975257.15,151799373.99,157733818.7,236040278.98,471931983.53
c_1,5709.18,5241.74,16618.82,7473.19,24903.9,69157.27,7724076.49,16407098.25,19746460.11,18872968.2,32909952.61,42298817.15,158621839.95,217636363.98,221387848.99,468975539.4
d_1,6248.84,5446.97,5584.65,18817.29,12503.28,75966.57,8249162.09,16511476.68,18046675.05,53977726.07,34443636.36,71646744.68,165413223.59,235712870.03,243766100.56,580499992.4
b_1,5873.86,5655.71,7300.76,7039.7,37131.22,158076.71,8317020.01,15015306.12,20221181.98,24603688.09,32075818.82,40473981.53,147195466.66,218612800.86,195137596.49,481163049.97
a_1,6311.96,6353.61,8350.85,8055.36,11350.55,318705.76,7966602.6,18690634.78,24941938.89,25508299.49,37952447.55,62801497.91,158538576.21,233390478.51,180209078.91,421518021.23
h_1,7973.64,5869.76,7289.31,8935.56,13680.68,74607.68,13783723.74,22095650.05,23361478.65,28005133.77,35129927.01,62673949.52,145937404.5,215370826.62,234126269.55,615339013.36
g_1,5731.18,5776.01,7252.05,12370.34,13368.8,80110.51,8192018.65,35712462.88,20406297.97,34181121.32,51351479.29,68096422.86,163413115.15,267313513.18,251553250.73,434690459.4
d_0,6338.49,5778.98,12568.13,6048.91,16885.16,83467.37,8060155.36,18886581.75,31662143.17,22137067.48,37977177.18,58824588.66,175585521.32,202462450.51,255330326.57,455683485.57
c_0,7200.31,6310.02,6929.48,9337.7,11852.98,80852.92,7721718.41,18983549.31,24757910.22,49009617.48,32979066.02,116711394.02,198037255.72,285080224.61,323023995.55,625748014.69
f_0,5508.23,5345.56,8624.57,9664.52,15880.03,91453.31,8734596.03,17673775.24,24003919.32,29888924.79,58197333.33,70845393.35,181954545.95,446409043.94,244383229.93,559333395.86
b_0,7140.77,6297.71,8062.12,10153.87,9932.21,67372.68,7891191.4,20764134.99,26521756.51,33374729.92,34198102.47,102960889.61,207158875.85,233235990.31,494640313.58,521028176.24
h_0,8208.35,5794.89,7787.33,8952.39,14267.04,73322.05,7308298.97,24317109.2,24847938.98,29505733.45,35043555.56,69648312.97,160139178.78,234415708.01,285113768.25,628023462.02
e_0,6889.33,5224.84,7178.35,9621.14,15955.58,88965.07,8717325.85,20259399.29,21983768.06,34086206.72,43658914.73,79974080.3,202933648.09,436122247.45,252592485.72,522799657.86
a_0,7181.31,5408.72,8288.02,10038.96,13810.76,62454.54,8397483.71,22026486.86,25333951.79,33668263.16,37825857.52,69257804.62,206078651.86,244446344.59,451367443.14,546545364.15
g_0,5538.47,5440.94,7556.67,11466.87,15718.9,77739.98,8094591.81,16139193.35,24237512.74,33889176.62,50904046.24,74164885.29,183330564.48,299573730.89,297238755.09,408396759.98
