,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,3.71,0.37,0.38,0.46,0.39,0.35,0.75,1.39,0.95,0.69,0.84,0.82,0.76,0.8,0.85,0.15
f_1,0.67,3.81,0.4,0.39,0.33,0.34,0.83,0.84,0.71,0.77,0.66,0.18,0.84,0.7,0.85,0.5
d_1,0.35,0.44,3.86,0.3,0.36,0.38,0.65,0.28,1.48,0.93,0.94,0.9,0.98,1.03,0.99,0.9
c_1,0.38,0.38,0.34,4.4,0.71,0.5,0.72,0.88,0.12,0.54,0.53,0.94,0.77,0.71,0.93,0.97
b_1,0.46,0.46,0.29,0.53,5.28,0.63,0.58,0.69,0.62,0.48,0.12,0.86,0.93,0.66,0.67,0.88
a_1,0.41,0.32,0.5,0.32,0.49,7.86,0.85,0.82,0.63,0.56,0.92,0.69,1.01,0.13,0.75,0.81
h_1,0.65,1.0,0.75,0.64,0.52,0.51,4.91,1.01,1.35,1.72,1.53,1.51,0.51,1.16,2.03,1.73
d_0,0.62,0.73,0.24,1.41,0.68,0.68,1.34,3.4,1.44,1.37,1.74,1.41,1.79,1.37,1.47,1.54
c_0,0.71,0.76,0.83,0.29,0.61,0.54,1.44,1.42,3.63,1.54,3.19,1.65,1.88,2.1,1.61,1.77
g_1,0.65,0.65,1.14,0.65,0.5,0.51,1.12,1.26,1.43,6.26,1.26,1.86,1.48,1.49,0.71,1.53
b_0,0.51,0.97,0.81,0.74,0.16,0.49,1.66,1.42,1.64,1.55,4.2,1.72,1.99,2.97,1.38,1.67
f_0,0.54,0.29,0.9,0.73,0.73,0.88,1.56,1.55,1.62,1.73,1.6,4.94,1.8,1.44,1.84,3.49
h_0,0.63,0.94,0.7,0.7,0.79,0.71,0.46,1.18,1.45,1.64,1.42,1.13,0.63,1.32,2.15,1.31
a_0,0.66,0.82,1.04,0.58,0.57,,1.23,1.54,1.67,1.28,2.1,1.84,1.58,6.04,1.37,1.94
g_0,0.5,0.72,1.04,0.64,0.71,0.66,1.25,1.23,1.12,0.63,1.75,2.47,1.54,0.8,,1.95
e_0,0.3,0.67,1.05,0.62,0.92,0.88,2.37,1.49,0.99,1.41,1.57,1.0,1.32,1.42,1.51,6.2
