,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,0.42,1.32,1.38,1.21,1.14,1.11,0.27,0.21,0.25,0.24,0.43,0.23,0.15,0.2,0.21,0.11
f_1,1.15,0.42,1.07,1.32,1.08,1.14,0.25,0.38,0.26,0.24,0.28,0.3,0.15,0.23,0.23,0.19
e_1,1.25,0.68,0.42,1.37,1.19,1.08,0.39,0.43,0.29,0.26,0.25,0.33,0.2,0.27,0.5,0.22
c_1,1.61,1.37,0.96,0.4,1.3,1.08,0.37,0.39,0.34,0.24,0.13,0.22,0.18,0.27,0.24,0.17
b_1,1.34,1.51,1.3,0.7,0.38,1.57,0.45,0.43,0.38,0.4,0.26,0.27,0.22,0.28,0.26,0.18
a_1,1.63,1.5,1.72,1.53,0.79,0.34,0.49,0.46,0.33,0.42,0.41,0.35,0.27,0.55,0.35,0.24
h_1,2.09,2.05,2.11,2.14,2.18,1.83,0.31,0.64,0.45,0.4,0.42,0.47,0.35,0.42,0.46,0.31
g_1,2.1,2.82,2.31,2.37,2.54,2.09,0.49,0.28,0.48,0.45,0.47,0.44,0.25,0.45,0.39,0.43
c_0,1.32,2.92,2.53,3.59,2.56,2.37,0.68,0.56,0.32,0.52,0.6,0.52,0.35,0.53,0.48,0.36
b_0,1.91,2.64,2.72,3.3,3.27,2.03,0.66,0.74,0.3,0.32,0.57,0.45,0.36,0.45,0.47,0.35
d_0,3.4,2.49,1.42,2.68,3.76,2.37,0.89,0.95,0.57,0.46,0.33,0.54,0.37,0.54,0.68,0.41
f_0,2.55,4.02,2.85,2.53,2.66,2.89,0.76,0.49,0.51,0.52,0.52,0.31,0.35,0.48,0.59,0.24
h_0,2.58,3.43,2.79,3.25,2.84,2.32,1.27,0.72,0.54,0.53,0.6,0.55,0.53,0.53,0.46,0.45
a_0,2.83,3.13,3.22,3.11,3.08,3.22,0.79,0.92,0.52,0.36,0.66,0.66,0.44,0.29,0.53,0.52
e_0,2.68,4.33,4.27,3.21,3.06,2.73,0.84,0.67,0.6,0.56,0.6,0.28,0.34,0.59,0.27,0.37
g_0,2.88,3.92,3.5,3.42,2.9,3.13,0.67,1.25,0.65,0.71,0.74,0.63,0.36,0.6,0.54,0.63
