,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.93,0.16,0.11,0.09,0.09,0.06,0.07,0.06,0.06,0.05,,0.07,0.06,0.03,0.03,0.05
e_1,0.1,0.93,0.1,0.1,0.08,0.06,0.08,0.07,0.07,0.1,0.06,0.07,0.06,,0.04,0.05
d_1,0.11,0.1,0.93,0.1,0.11,0.06,0.07,0.05,0.13,,0.06,0.06,0.05,0.06,0.03,0.04
c_1,0.13,0.1,0.1,0.93,0.16,0.08,0.08,0.07,,0.06,0.06,0.07,0.06,0.05,0.04,0.05
b_1,0.12,0.11,0.11,0.08,0.93,0.11,0.07,0.07,0.06,0.08,0.08,,0.05,0.05,0.05,0.05
a_1,0.13,0.1,0.13,0.1,0.09,0.93,0.1,0.06,0.1,0.1,0.06,,0.07,,,0.06
h_1,0.37,0.28,0.3,0.25,0.25,0.17,0.71,0.18,0.16,0.19,0.22,0.13,,0.09,0.16,0.17
g_1,0.32,0.29,0.46,0.23,0.23,0.21,0.22,0.71,0.14,0.13,0.29,0.2,0.13,0.13,0.11,
c_0,0.43,0.36,0.26,,0.35,0.16,0.26,0.24,0.57,0.23,0.19,0.35,0.2,0.15,0.15,0.18
d_0,0.44,0.32,,0.55,0.28,0.18,0.25,0.24,0.2,0.57,0.18,0.19,0.22,0.23,0.15,0.2
f_0,,0.38,0.41,0.37,0.29,0.19,0.18,0.14,0.26,0.24,0.58,0.24,0.25,,0.15,0.16
b_0,0.33,0.41,0.36,0.27,,,0.34,0.22,0.17,0.3,0.22,0.55,0.25,0.19,0.27,0.15
h_0,0.62,0.57,0.56,0.43,0.36,0.29,,0.4,0.34,0.3,0.27,0.26,,,0.17,0.28
e_0,0.45,,0.31,0.29,0.28,,0.39,0.24,0.33,0.16,,0.22,,0.6,0.23,0.21
a_0,0.52,0.37,0.56,0.38,0.37,,0.23,0.29,0.28,0.18,0.24,0.19,0.23,0.18,0.57,0.2
g_0,0.41,0.58,0.7,0.48,0.45,0.35,0.33,,0.33,0.21,0.43,0.33,0.26,0.19,0.23,
