,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,0.01,0.08,0.05,0.11,0.13,0.16,0.24,0.24,0.2,0.17,0.3,0.3,0.44,,0.47,0.5
d_1,0.09,0.01,0.08,0.09,0.09,0.21,0.19,0.13,,0.23,0.17,0.21,0.28,0.39,0.33,0.2
f_1,0.1,0.07,0.01,0.09,0.1,0.11,0.12,0.21,0.2,0.18,,0.16,0.15,0.32,0.3,0.31
c_1,0.05,0.06,0.06,0.01,0.09,0.07,0.13,0.14,0.07,,0.17,0.13,0.2,0.21,0.25,0.19
b_1,0.03,0.03,0.04,0.03,,0.07,0.08,0.08,0.09,0.11,0.09,,0.12,0.13,,0.2
a_1,0.01,0.01,0.02,0.02,0.01,,0.04,0.03,0.03,0.04,0.05,0.04,0.04,0.06,,0.07
h_1,,,,,,,,,,,,,,,,
g_1,,,,,,,,,,,,,,,,
d_0,,,,,,,,,,,,,,,,
c_0,,,,,,,,,,,,,,,,
f_0,,,,,,,,,,,,,,,,
b_0,,,,,,,,,,,,,,,,
h_0,,,,,,,,,,,,,,,,
e_0,,,,,,,,,,,,,,,,
a_0,,,,,,,,,,,,,,,,
g_0,,,,,,,,,,,,,,,,
