,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.86,1.16,1.43,1.66,3.37,18.78,34.17,32.34,33.5,40.0,50.44,69.62,96.35,108.8,108.76
f_1,1.14,1.0,1.09,1.25,1.56,3.2,14.55,26.17,29.36,30.52,37.11,40.68,56.77,79.93,75.07,103.3
d_1,0.85,0.92,1.0,0.9,1.32,2.61,14.73,20.9,21.06,36.26,35.46,35.87,56.05,77.21,85.28,71.0
c_1,0.7,0.81,1.11,1.0,1.66,2.7,16.34,16.42,24.14,27.57,27.42,36.41,57.85,73.96,82.82,78.03
b_1,0.62,0.64,0.75,0.62,1.0,2.8,12.31,16.29,16.46,23.58,26.21,27.14,40.17,50.48,60.21,63.65
a_1,0.28,0.31,0.38,0.36,0.36,1.0,6.15,8.76,9.42,10.76,14.71,14.65,21.58,27.56,31.34,30.24
h_1,0.05,0.07,0.06,0.06,0.08,0.17,1.0,1.32,1.56,1.59,2.06,2.1,3.67,4.78,4.97,5.58
d_0,0.03,0.04,0.05,0.06,0.06,0.11,0.76,1.0,1.16,1.08,1.48,1.72,2.72,3.15,3.75,4.12
g_1,0.03,0.03,0.05,0.04,0.06,0.1,0.62,0.87,1.0,1.18,1.35,1.8,2.03,3.18,3.62,3.66
c_0,0.03,0.03,0.03,0.04,0.04,0.09,0.61,0.86,0.8,1.0,1.57,1.33,1.91,2.88,3.26,2.84
b_0,0.02,0.03,0.03,0.04,0.04,0.07,0.48,0.67,0.78,0.65,1.0,1.05,1.69,3.19,2.51,2.36
f_0,0.02,0.02,0.03,0.03,0.04,0.07,0.48,0.61,0.54,0.7,0.94,1.0,1.52,2.15,3.26,1.98
h_0,0.01,0.02,0.02,0.02,0.02,0.04,0.27,0.36,0.49,0.53,0.59,0.67,1.0,1.23,1.38,1.6
a_0,0.01,0.01,0.01,0.01,0.02,0.04,0.22,0.32,0.34,0.35,0.33,0.51,0.78,1.0,1.13,1.17
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.2,0.27,0.26,0.32,0.4,0.33,0.77,0.89,1.0,0.99
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.18,0.23,0.27,0.33,0.42,0.53,0.63,0.87,1.01,1.0
