,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.78,1.22,1.16,1.92,3.75,17.86,41.97,32.13,40.73,50.63,,54.09,100.47,115.69,159.59
e_1,0.56,1.0,1.15,1.25,1.98,3.65,20.24,24.3,45.69,41.37,40.7,54.14,51.1,77.97,102.61,
c_1,0.82,0.87,1.0,0.94,2.26,3.48,19.97,22.8,19.41,,42.8,45.36,48.03,53.3,95.5,107.11
d_1,0.86,0.8,1.06,1.0,1.47,3.51,16.22,17.79,,42.26,28.53,30.63,47.72,58.35,75.95,74.21
b_1,0.52,0.51,0.44,0.68,1.0,3.46,11.93,17.42,17.88,25.47,,26.88,36.42,46.79,70.5,63.6
a_1,0.27,0.27,0.29,0.28,0.29,1.0,5.93,7.6,8.52,12.62,,,20.96,,,
h_1,0.06,0.05,0.05,0.06,0.08,0.17,1.0,1.54,1.3,2.07,2.07,2.37,,3.35,5.92,6.51
g_1,0.02,0.04,0.04,0.06,0.06,0.13,0.65,1.0,1.04,1.35,1.59,2.24,1.79,3.48,,3.86
d_0,0.03,0.02,0.05,,0.06,0.12,0.77,0.96,1.0,1.38,1.61,1.71,2.68,3.3,5.34,3.41
c_0,0.02,0.02,,0.02,0.04,0.08,0.48,0.74,0.73,1.0,1.77,1.28,1.42,2.39,3.72,4.11
b_0,0.02,0.02,0.02,0.04,,,0.48,0.63,0.62,0.57,1.0,0.97,0.96,1.93,1.85,3.05
f_0,,0.02,0.02,0.03,0.04,,0.42,0.45,0.58,0.78,1.03,1.0,1.77,1.54,1.83,3.05
h_0,0.02,0.02,0.02,0.02,0.03,0.05,,0.56,0.37,0.7,1.04,0.56,,1.86,2.03,2.14
a_0,0.01,0.01,0.02,0.02,0.02,,0.3,0.29,0.3,0.42,0.52,0.65,0.54,1.0,1.41,
g_0,0.01,0.01,0.01,0.01,0.01,,0.17,,0.19,0.27,0.54,0.55,0.49,0.71,,1.15
e_0,0.01,,0.01,0.01,0.02,,0.15,0.26,0.29,0.24,0.33,0.33,0.47,,0.87,1.0
