,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,13225.59,5584.99,3503.38,4233.72,6012.27,16544.04,3051868.61,7107242.46,7371795.79,6667209.95,12148998.34,8320708.86,54580678.3,91402735.62,58144246.07,192489960.57
e_1,3067.02,13571.27,3723.87,5360.51,5523.39,20091.02,3171018.71,7009327.25,15960705.13,6990767.13,12088581.61,22841901.3,63918566.25,130242970.53,39577211.18,231181481.08
d_1,3293.39,2395.01,22729.63,3431.46,6044.19,18702.72,3128361.91,15542998.76,2724750.76,6198586.9,14313076.86,23424767.26,83393494.78,131778576.72,112783931.52,293800125.19
c_1,2598.02,2618.53,3981.39,24876.7,12027.33,16743.64,2713063.38,2664429.17,7847175.0,5970195.7,7926184.94,25085901.11,54888562.06,86994869.87,97678435.64,168908415.96
b_1,2886.91,2610.18,4989.6,4563.26,34535.4,40512.0,2387226.97,6300367.85,8489026.03,6469082.77,3853041.15,17385884.52,40596811.22,119768777.43,100508177.78,265416584.28
a_1,3460.4,2007.65,5066.42,5238.23,5279.23,161712.73,3501873.73,7215302.55,7956467.33,6745255.53,11321638.75,19459118.92,24655495.49,145265143.67,117133645.45,274430083.91
h_1,4787.62,3452.27,5277.34,5965.61,5888.39,21938.78,10294668.63,8963806.71,9937400.43,9681639.98,15497070.07,26318821.06,81322451.8,76203427.54,125127481.23,408237504.04
c_0,3741.66,3721.78,7061.09,3626.66,5728.28,25047.17,3935466.54,17981977.93,8444717.19,9086275.87,26035691.0,23527351.72,92742570.58,146626292.36,129986207.24,343854394.18
d_0,3342.59,3506.96,2943.71,11742.57,7487.4,22774.23,3533467.08,6080116.06,19494008.73,7917311.82,12514816.04,26568600.08,63325648.86,146935839.76,123624448.42,255398690.7
g_1,2662.77,2614.44,8760.65,6284.46,6537.51,21914.44,3537528.54,8097322.29,8186933.05,26968792.41,12137213.83,41131260.99,81360200.95,162368946.16,121949732.99,189810823.67
b_0,3300.92,3822.8,6143.27,6020.51,3248.7,23957.02,4114429.77,9660681.16,9527406.45,9272227.95,29333039.68,28384316.93,157467745.15,153550869.0,117015253.55,338665096.26
f_0,2081.74,2976.32,5603.57,6909.46,8545.46,28220.97,4495074.91,8731839.35,8924140.49,8009581.24,11705822.57,63771260.27,62372533.22,144917787.13,289508274.62,330270833.19
a_0,4324.61,3539.63,6791.44,5387.0,6628.31,15739.09,4508442.26,9592416.11,11568330.26,7787092.87,13453427.24,21419646.58,199683110.01,175566720.3,114794130.68,318912312.47
h_0,4572.98,3727.71,5711.68,5510.03,6537.51,30627.41,1919674.65,9792854.66,11269803.12,10308675.84,15129852.23,23737444.15,69772983.04,84900921.46,142339450.21,370879826.89
e_0,4008.91,1513.19,5049.29,6644.51,8682.63,29670.3,4449960.11,11007297.49,9487111.97,9649223.78,16895001.65,25226654.07,86825401.36,193562309.14,387430191.04,417753286.03
g_0,2989.17,3195.18,8910.23,6193.55,5854.49,25233.33,3949045.0,10514433.42,8783475.42,4511561.66,12709075.87,40569450.01,63190626.15,129049400.62,130952294.19,163374911.09
