,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.0,1.14,1.05,1.36,1.74,3.42,19.61,22.14,28.43,37.57,37.64,49.89,73.43,87.92,93.31,116.45
f_1,0.88,1.0,1.29,1.5,1.55,3.0,15.83,25.13,26.99,26.1,30.15,39.6,60.65,70.51,114.67,82.17
e_1,0.95,0.79,1.0,1.63,1.76,3.47,20.19,26.82,36.91,29.74,36.84,50.99,67.28,78.81,107.01,108.31
c_1,0.75,0.65,0.61,1.0,1.56,2.04,12.63,18.35,13.05,15.54,17.98,35.03,51.17,48.74,69.67,72.47
b_1,0.58,0.65,0.57,0.66,1.0,2.87,10.63,13.74,15.71,17.86,20.62,28.44,42.53,44.9,68.22,67.7
a_1,0.29,0.33,0.28,0.49,0.36,1.0,6.65,8.68,8.57,8.74,11.33,13.51,24.86,28.22,35.62,36.0
h_1,0.05,0.06,0.05,0.08,0.09,0.15,1.0,1.59,1.28,1.35,1.53,2.22,4.04,3.9,6.46,5.71
g_1,0.05,0.04,0.04,0.06,0.07,0.12,0.62,1.0,1.04,1.17,1.33,2.25,2.41,2.89,3.74,4.83
d_0,0.03,0.04,0.03,0.08,0.06,0.11,0.76,0.93,1.0,0.93,1.28,1.49,2.74,2.42,3.78,4.42
c_0,0.03,0.04,0.03,0.06,0.05,0.12,0.76,0.88,1.13,1.0,1.68,1.6,2.76,2.86,3.5,4.49
b_0,0.03,0.03,0.03,0.05,0.04,0.09,0.63,0.72,0.75,0.59,1.0,1.35,2.04,2.87,3.29,2.91
f_0,0.02,0.02,0.02,0.03,0.03,0.08,0.43,0.43,0.6,0.63,0.76,1.0,1.48,1.74,1.84,3.79
h_0,0.01,0.02,0.01,0.02,0.02,0.04,0.25,0.41,0.37,0.36,0.47,0.67,1.0,1.04,1.73,1.35
a_0,0.01,0.01,0.01,0.02,0.02,0.03,0.26,0.36,0.39,0.36,0.37,0.54,0.95,1.0,1.37,1.24
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.15,0.26,0.24,0.28,0.33,0.56,0.59,0.74,1.0,1.15
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.17,0.2,0.21,0.21,0.35,0.29,0.72,0.71,0.86,1.0
