,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,1.0,0.85,1.34,1.0,0.88,0.9,0.89,0.98,1.03,0.9,0.91,0.92,0.82,1.09,1.01,0.84
d_1,1.16,1.0,1.09,0.9,0.99,0.79,1.0,0.88,0.95,1.33,0.99,1.05,1.02,0.83,0.99,0.91
e_1,0.75,0.91,1.0,1.13,1.06,1.14,1.08,1.07,1.4,1.04,1.16,1.18,1.13,1.04,1.07,1.24
c_1,1.01,1.12,0.88,1.0,1.36,0.78,0.89,0.9,0.71,0.78,0.95,0.77,1.09,0.99,0.94,1.0
b_1,1.14,1.01,0.94,0.74,1.0,1.56,1.14,1.12,0.97,1.08,0.98,1.04,0.96,1.12,0.89,1.05
a_1,1.1,1.25,0.87,1.28,0.65,1.0,1.09,1.05,1.07,0.94,1.05,1.13,1.07,1.01,0.87,1.0
h_1,1.12,1.03,0.91,1.1,0.9,0.98,1.0,1.15,0.92,0.91,0.89,0.96,0.95,1.14,0.85,0.98
g_1,1.0,1.2,0.93,1.08,0.92,0.91,0.88,1.0,0.85,0.95,1.09,1.09,0.87,0.92,0.86,0.98
d_0,0.95,1.1,0.73,1.42,1.08,0.98,1.09,1.19,1.0,0.8,0.89,0.94,1.01,1.04,1.0,1.03
c_0,1.11,0.78,0.93,1.19,0.94,1.04,1.11,1.09,1.27,1.0,1.03,1.42,1.1,1.08,1.12,1.16
f_0,1.04,1.03,0.87,1.04,1.01,0.96,1.09,0.96,1.14,0.93,1.0,1.06,0.98,0.79,0.99,1.41
b_0,1.11,0.94,0.81,1.24,1.02,0.84,1.07,0.9,1.02,0.7,0.97,1.0,1.09,1.02,1.48,1.01
h_0,1.19,0.97,0.89,0.93,1.06,0.92,1.11,1.12,0.96,0.89,1.02,0.94,1.0,1.21,0.95,0.86
g_0,0.94,1.18,0.98,1.02,0.87,0.99,0.88,1.05,0.9,0.98,1.21,1.0,0.8,1.0,1.03,0.94
a_0,0.93,1.0,0.93,1.02,1.17,1.17,1.13,1.09,0.97,0.82,1.06,0.68,1.1,0.99,1.0,0.84
e_0,1.21,1.03,0.84,1.01,1.01,0.95,1.02,1.03,0.97,0.84,0.74,1.0,1.17,1.07,1.37,1.0
