,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.0,0.8,1.21,1.87,1.97,4.65,19.7,31.42,48.89,32.09,50.07,47.97,86.9,90.95,108.16,110.85
f_1,1.24,1.0,1.24,1.44,1.66,3.33,15.47,26.7,29.29,29.47,37.32,46.72,61.79,68.99,77.88,125.93
d_1,0.83,0.81,1.0,1.07,1.52,3.51,12.71,18.06,25.15,36.26,32.91,38.92,63.8,56.57,82.23,67.1
c_1,0.54,0.7,0.92,1.0,1.52,2.15,10.85,18.05,13.91,18.34,24.71,25.65,48.97,53.37,66.45,68.25
b_1,0.51,0.6,0.65,0.66,1.0,3.26,11.14,17.7,16.53,21.6,25.87,27.47,45.83,47.07,50.88,68.55
a_1,0.21,0.3,0.29,0.46,0.3,1.0,4.89,5.74,7.41,7.79,10.47,12.31,17.81,18.5,19.36,33.94
h_1,0.05,0.07,0.08,0.09,0.09,0.21,1.0,1.9,1.62,1.84,2.37,2.74,4.47,4.17,5.33,7.34
g_1,0.03,0.04,0.06,0.06,0.06,0.18,0.54,1.0,1.09,1.18,1.97,1.77,2.47,3.32,4.36,3.94
d_0,0.02,0.03,0.04,0.07,0.06,0.14,0.62,0.94,1.0,0.94,1.38,1.56,2.32,2.7,3.2,4.23
c_0,0.03,0.03,0.03,0.05,0.05,0.12,0.53,0.79,1.03,1.0,1.37,2.35,2.58,2.75,2.81,3.81
f_0,0.02,0.03,0.03,0.04,0.04,0.1,0.43,0.51,0.69,0.71,1.0,1.19,1.94,2.1,3.13,2.72
b_0,0.02,0.02,0.03,0.04,0.04,0.07,0.36,0.54,0.64,0.43,0.84,1.0,1.78,2.51,2.24,2.55
h_0,0.01,0.02,0.02,0.02,0.02,0.05,0.22,0.39,0.42,0.39,0.51,0.53,1.0,0.94,1.24,1.71
a_0,0.01,0.02,0.02,0.02,0.02,0.06,0.24,0.3,0.36,0.36,0.48,0.41,1.08,1.0,1.2,1.36
e_0,0.01,0.01,0.01,0.02,0.02,0.04,0.18,0.23,0.33,0.38,0.31,0.48,0.8,0.87,1.0,1.23
g_0,0.01,0.01,0.02,0.01,0.01,0.03,0.14,0.25,0.24,0.27,0.36,0.39,0.58,0.74,0.76,1.0
