,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.41,0.87,0.76,0.8,0.87,0.76,0.35,0.33,0.47,0.32,0.33,0.47,0.24,0.32,0.33,0.33
e_1,0.55,0.41,0.8,0.97,0.9,0.91,0.49,0.36,0.5,0.45,0.35,0.43,0.35,0.38,0.51,0.35
d_1,0.9,0.95,0.39,0.73,0.73,0.7,0.41,0.41,0.29,0.66,0.38,0.38,0.31,0.35,0.38,0.21
c_1,0.82,0.69,1.08,0.39,0.94,0.62,0.47,0.39,0.45,0.22,0.32,0.34,0.32,0.36,0.33,0.29
b_1,0.83,0.8,0.83,0.51,0.38,1.17,0.43,0.43,0.49,0.39,0.53,0.33,0.33,0.36,0.35,0.33
a_1,0.93,0.87,0.83,1.1,0.45,0.31,0.47,0.42,0.48,0.36,0.55,0.37,0.33,0.66,0.44,0.37
h_1,0.8,0.68,0.65,0.78,0.65,0.63,0.25,0.33,0.47,0.38,0.43,0.35,0.36,0.29,0.3,0.3
c_0,0.88,0.74,0.45,1.29,0.73,0.64,0.43,0.24,0.33,0.39,0.39,0.36,0.27,0.35,0.33,0.28
g_1,0.74,0.64,0.83,0.76,0.75,0.65,0.32,0.41,0.22,0.34,0.28,0.36,0.23,0.42,0.31,0.38
d_0,0.8,0.45,0.83,0.98,0.8,0.76,0.38,0.33,0.43,0.25,0.31,0.29,0.26,0.31,0.31,0.32
b_0,0.74,0.73,0.61,0.94,0.92,0.63,0.33,0.2,0.45,0.33,0.23,0.32,0.26,0.4,0.34,0.35
f_0,1.09,0.67,0.6,0.7,0.75,0.71,0.41,0.33,0.28,0.34,0.36,0.23,0.32,0.32,0.42,0.19
h_0,0.76,0.7,0.68,0.73,0.68,0.67,0.44,0.36,0.4,0.35,0.3,0.3,0.33,0.31,0.32,0.35
a_0,0.81,0.66,0.7,0.67,0.87,0.98,0.41,0.3,0.35,0.31,0.19,0.3,0.29,0.2,0.33,0.28
e_0,0.95,0.9,0.62,0.69,0.7,0.73,0.39,0.29,0.36,0.37,0.29,0.17,0.28,0.3,0.19,0.29
g_0,0.8,0.67,0.76,0.77,0.63,0.65,0.29,0.36,0.46,0.32,0.31,0.4,0.19,0.33,0.28,0.33
