,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,2.51,1.91,1.73,1.36,1.61,1.67,3.26,2.92,5.19,2.99,4.13,3.76,4.34,4.23,4.08,3.99
f_1,1.47,2.5,2.4,1.69,1.5,1.52,3.05,4.09,3.34,3.24,3.41,3.18,4.08,3.54,2.76,4.61
e_1,1.42,1.52,2.56,2.05,1.81,1.62,3.28,5.66,3.49,3.42,3.48,3.63,4.86,3.97,3.4,4.9
c_1,1.85,1.58,1.4,2.62,2.54,1.6,3.18,3.0,2.89,3.04,2.73,3.56,4.4,3.51,3.95,4.3
b_1,1.7,1.76,1.46,1.54,2.79,2.87,3.39,3.55,3.37,3.1,3.25,3.6,4.51,3.09,3.93,4.51
a_1,1.77,1.89,1.75,1.79,1.27,3.22,3.35,3.21,3.44,3.39,4.12,3.71,4.99,3.32,3.72,4.68
h_1,1.73,2.12,1.73,1.7,1.65,1.72,4.32,3.19,3.49,3.83,3.54,3.94,4.01,3.22,3.83,5.52
d_0,1.49,1.56,1.39,2.63,2.05,1.89,3.57,4.37,2.91,3.47,3.69,3.84,4.76,3.88,3.92,5.29
c_0,1.64,1.87,1.73,1.69,1.46,1.57,3.67,3.96,4.53,3.66,5.67,4.03,4.97,5.13,4.0,4.84
g_1,2.29,1.6,1.46,1.73,1.79,1.55,3.05,3.09,3.66,4.79,3.89,5.15,4.31,3.27,4.27,4.13
b_0,1.84,1.89,1.61,1.92,1.6,1.38,3.67,3.59,3.45,3.66,4.85,3.82,5.36,6.1,4.36,4.78
f_0,1.98,1.67,1.53,1.83,1.93,1.63,3.23,3.23,4.01,3.3,3.93,4.99,4.96,3.93,7.04,4.55
h_0,1.88,2.04,1.57,1.71,1.71,1.61,3.0,3.5,3.56,4.3,3.69,3.86,4.41,4.01,3.96,5.83
a_0,1.71,1.88,1.76,1.92,1.95,1.23,3.86,3.53,3.56,4.1,3.7,3.81,4.95,5.55,3.99,4.98
e_0,1.76,1.97,1.64,1.76,1.92,1.69,3.19,3.66,3.86,3.35,3.73,3.53,5.06,4.08,5.57,5.48
g_0,2.35,1.57,1.47,1.67,1.83,1.76,3.04,2.88,3.98,3.17,3.66,4.77,4.16,3.85,4.25,4.28
