,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.12,4.89,4.63,4.87,5.45,4.92,1.05,1.0,1.32,1.01,1.03,1.97,0.55,1.06,0.96,0.93
e_1,2.85,1.13,5.51,5.66,6.2,5.28,1.84,0.98,1.91,1.04,0.97,1.14,0.79,1.03,0.92,2.97
d_1,5.64,6.77,1.12,5.84,5.28,4.66,1.55,3.42,0.94,1.01,1.04,0.96,0.75,1.05,0.53,1.03
c_1,6.05,4.04,8.92,1.13,5.26,5.55,1.52,0.69,1.89,2.43,1.24,1.14,0.84,1.22,0.7,1.23
b_1,7.52,7.27,7.0,3.67,1.13,7.6,2.26,1.71,2.39,2.18,3.83,1.23,0.9,1.33,1.08,1.5
a_1,12.24,12.51,8.29,9.74,5.3,1.15,3.34,2.52,2.93,2.32,2.61,2.23,1.88,4.48,1.28,2.06
h_1,19.31,14.96,15.8,16.73,16.59,12.54,1.72,3.2,4.96,3.19,2.7,2.79,4.22,3.17,2.6,2.27
d_0,21.22,11.08,52.02,27.0,23.68,22.52,6.66,2.38,9.62,4.63,4.27,4.19,4.18,3.87,3.62,5.52
g_1,29.43,22.87,22.84,20.6,21.47,21.24,5.18,6.51,1.81,5.3,4.37,4.26,2.22,4.03,5.9,4.33
c_0,34.42,20.75,10.91,60.62,24.09,21.48,6.13,5.83,6.38,2.24,4.34,3.78,3.58,4.81,3.52,4.72
b_0,29.43,25.28,21.54,34.92,71.03,21.24,8.63,6.51,6.71,2.69,2.47,4.83,3.94,4.99,3.66,4.03
f_0,57.92,27.4,26.62,26.12,31.12,29.67,10.47,5.69,5.31,5.3,5.3,2.61,4.59,5.18,2.67,6.53
h_0,35.43,37.01,31.31,28.69,35.51,32.79,18.27,7.46,10.06,7.3,7.16,6.18,7.81,6.14,4.88,6.08
a_0,33.79,36.26,37.15,35.31,51.3,49.18,11.65,8.49,11.45,5.87,3.72,6.5,5.94,2.7,4.95,8.55
g_0,38.82,39.02,37.99,47.25,39.57,40.63,8.25,7.22,18.44,7.38,7.55,8.05,4.35,8.14,9.63,9.7
e_0,40.1,73.27,37.15,38.25,37.43,46.72,12.43,8.49,12.53,7.38,7.25,4.45,7.15,11.08,6.42,2.48
