,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.17,0.03,0.03,0.03,0.03,0.02,0.06,0.12,0.05,0.05,0.06,0.05,0.04,0.07,,0.08
f_1,0.05,2.23,0.03,0.03,0.03,0.02,0.06,0.06,0.05,0.08,0.06,,0.06,0.08,0.03,0.05
d_1,0.03,0.03,2.31,0.02,0.03,0.02,0.07,,0.05,0.12,0.06,0.05,0.05,0.08,0.07,0.07
c_1,0.03,0.03,0.02,2.37,0.05,0.03,0.05,0.07,0.04,,0.05,0.04,0.05,0.09,0.05,0.1
b_1,0.03,0.04,0.04,0.03,2.55,0.04,0.06,0.07,0.04,0.05,,0.06,0.04,0.08,0.05,
a_1,0.04,0.03,0.03,0.03,0.03,3.1,0.06,0.05,,0.06,,0.06,,0.06,0.07,0.06
h_1,0.13,0.18,0.11,0.12,0.1,0.09,2.63,0.18,0.16,0.23,0.24,0.18,0.2,,0.19,0.26
d_0,0.17,0.15,,0.26,0.12,0.1,0.25,2.06,0.34,0.26,0.38,0.22,0.26,0.38,0.2,0.29
g_1,0.09,0.08,0.18,0.09,0.08,,0.23,0.21,3.04,0.28,0.23,0.3,0.18,0.37,0.21,
c_0,0.13,0.18,0.15,,0.11,0.1,0.32,0.3,0.27,2.11,0.5,0.33,0.2,0.38,0.22,0.39
b_0,0.15,0.18,0.14,0.12,,,0.4,0.42,0.26,0.29,2.22,0.31,,0.32,0.18,0.24
f_0,0.11,,0.17,0.14,0.11,0.09,0.28,0.37,0.22,0.37,0.25,2.22,0.31,0.48,0.52,0.42
a_0,0.2,0.14,0.11,0.16,0.1,,0.37,0.26,0.26,0.27,,0.35,2.7,0.36,0.23,
h_0,0.28,0.36,0.19,0.18,0.17,0.18,,0.58,0.41,0.41,0.35,0.37,0.33,,0.27,0.82
e_0,,0.13,0.21,0.14,0.17,0.17,0.22,0.28,0.22,0.29,0.31,0.27,0.27,0.45,2.62,0.4
g_0,0.23,0.14,0.32,0.23,,0.12,0.35,0.33,,0.41,0.48,0.85,,0.56,0.34,
