,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,5.68,3.93,2.22,2.21,1.6,2.01,8.05,7.83,10.12,10.28,10.55,5.97,13.83,10.81,13.9,7.48
e_1,2.34,6.06,2.69,2.06,2.39,2.11,8.04,7.53,17.8,10.58,10.44,9.8,16.6,11.57,15.38,8.05
c_1,2.13,1.99,6.41,1.93,4.24,2.24,7.93,7.78,9.89,5.39,6.82,10.55,14.6,9.2,15.38,11.57
d_1,2.42,2.25,1.74,6.78,1.86,2.32,8.42,9.2,6.22,19.97,13.84,12.67,15.9,11.63,18.32,12.56
b_1,2.47,1.7,2.55,2.1,7.86,4.28,8.61,8.06,9.38,9.56,6.15,9.74,16.68,6.74,16.41,9.7
a_1,2.65,2.06,2.29,2.04,2.35,11.38,8.73,7.67,10.39,10.22,10.1,8.98,17.02,6.91,15.54,7.71
h_1,3.5,2.37,1.99,2.67,2.15,2.27,18.09,10.05,9.92,10.63,12.62,9.71,13.83,12.0,22.17,10.48
g_1,2.2,2.13,2.28,3.84,2.26,2.16,8.53,20.81,10.7,11.68,13.79,17.09,18.33,15.01,14.82,16.14
d_0,2.31,2.07,4.63,1.8,2.65,1.82,9.26,9.62,18.06,7.74,10.69,12.29,17.32,12.15,16.99,13.99
c_0,2.52,2.48,2.02,3.04,1.59,2.56,8.54,9.47,12.69,19.98,24.19,13.2,20.59,17.42,22.38,16.16
b_0,2.61,2.43,2.33,3.1,1.38,2.38,9.56,10.06,10.02,13.07,22.47,12.31,18.61,27.13,20.95,14.44
f_0,2.13,1.72,2.71,3.0,2.24,1.96,9.14,10.76,11.74,13.12,14.86,23.25,21.68,15.19,20.22,30.01
h_0,3.02,2.15,2.6,2.9,2.43,2.1,6.45,12.64,10.76,11.32,13.36,11.27,12.34,12.74,21.66,12.41
a_0,2.62,2.47,2.72,2.76,2.07,1.58,10.3,9.77,10.74,9.53,14.25,13.01,17.49,27.46,17.77,15.94
g_0,2.36,2.1,2.12,3.92,2.19,2.19,8.9,8.07,8.24,10.78,13.96,18.75,17.47,13.45,14.15,15.85
e_0,2.62,1.57,2.52,2.74,3.28,2.6,9.38,10.18,11.25,11.07,15.71,13.0,19.86,13.16,19.49,35.2
