,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.66,7.24,4.98,5.37,5.1,4.53,2.28,2.04,2.06,2.89,2.26,,1.92,1.36,2.14,2.11
e_1,3.85,0.66,7.17,5.31,5.32,6.22,2.22,2.01,2.11,2.81,2.31,3.04,2.18,1.59,,1.85
d_1,6.68,6.29,0.65,5.58,5.7,6.8,3.45,2.28,,1.94,2.03,2.27,2.24,1.52,2.23,1.15
c_1,6.61,7.6,8.05,0.64,9.39,5.53,2.41,,1.38,2.44,2.0,1.99,2.88,1.7,2.16,1.29
b_1,5.76,6.6,6.61,3.62,0.63,7.03,3.2,2.24,2.63,3.1,,1.96,1.9,2.33,1.62,1.96
a_1,8.44,7.57,7.37,7.79,4.33,0.59,4.03,2.81,2.96,2.66,2.59,2.05,,1.87,2.76,2.07
h_1,4.76,5.41,5.18,6.42,5.43,3.78,0.61,2.23,1.95,2.83,1.66,1.92,1.37,,1.32,1.19
c_0,4.84,5.51,2.96,,5.11,4.25,1.82,0.73,1.64,2.23,1.94,1.76,1.54,1.24,1.79,1.3
d_0,5.13,3.2,,4.94,3.87,4.66,2.02,2.33,0.71,2.1,1.89,1.94,1.5,1.05,2.58,1.31
g_1,5.53,5.08,5.75,5.14,4.43,6.31,2.34,1.8,2.28,0.58,1.74,2.07,1.81,1.91,,
b_0,4.38,5.19,4.6,6.26,,4.91,2.25,1.15,1.79,2.3,0.7,1.83,2.55,1.21,1.8,1.35
f_0,,4.51,4.84,4.69,5.57,5.63,2.0,2.35,1.6,1.65,2.05,0.68,2.79,1.58,2.06,1.1
a_0,6.21,5.93,6.05,5.14,7.39,,2.34,2.25,2.37,2.29,1.19,1.66,0.64,1.9,2.34,
h_0,5.93,4.55,4.65,4.72,4.25,4.51,,1.51,2.46,1.68,2.0,1.79,1.31,,1.09,1.6
e_0,6.13,,6.04,5.81,7.88,5.11,2.7,2.12,1.74,,2.68,1.21,1.71,1.87,0.62,
g_0,5.36,4.48,5.78,6.17,4.98,4.39,1.94,1.97,2.36,,1.82,1.9,,1.43,,
