,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.66,1.16,0.96,1.04,1.12,0.82,0.38,0.53,0.38,0.42,0.36,0.46,0.26,0.39,0.31,0.31
e_1,0.73,0.65,1.11,1.31,1.04,1.02,0.59,0.51,0.4,0.48,0.43,0.49,0.34,0.39,0.36,0.58
d_1,1.16,1.16,0.65,0.99,1.02,0.96,0.43,0.36,0.47,0.49,0.41,0.39,0.3,0.33,0.23,0.35
c_1,1.19,0.9,1.37,0.63,1.29,0.94,0.51,0.48,0.49,0.25,0.37,0.38,0.35,0.36,0.34,0.34
b_1,1.24,1.22,1.23,0.77,0.62,1.28,0.62,0.53,0.52,0.42,0.5,0.41,0.36,0.37,0.35,0.39
a_1,1.73,1.35,1.28,1.44,0.81,0.57,0.63,0.65,0.44,0.54,0.58,0.42,0.42,0.62,0.36,0.5
h_1,2.04,1.61,1.81,1.8,1.52,1.45,0.55,0.85,0.62,0.63,0.67,0.55,0.57,0.57,0.5,0.57
g_1,2.04,1.92,1.87,1.94,1.87,1.58,0.63,0.53,0.65,0.56,0.64,0.73,0.41,0.59,0.53,0.55
c_0,2.26,1.9,1.23,2.74,1.84,1.92,0.87,0.79,0.56,0.89,0.82,0.69,0.58,0.74,0.55,0.63
d_0,1.91,1.26,2.32,2.45,1.98,1.76,0.87,1.05,0.66,0.58,0.74,0.67,0.58,0.73,0.63,0.73
b_0,2.41,1.84,1.65,2.61,2.51,1.56,0.84,0.79,0.49,0.76,0.55,0.66,0.61,0.77,0.57,0.69
f_0,2.59,1.91,2.03,2.01,2.05,1.72,1.0,0.68,0.71,0.81,0.73,0.55,0.58,0.65,0.44,0.78
h_0,2.44,2.16,2.19,2.31,1.91,1.84,1.13,1.08,0.75,0.94,0.76,0.81,0.8,0.72,0.68,0.67
a_0,2.23,2.19,2.47,2.63,2.61,2.27,1.03,1.04,0.75,0.89,0.53,0.81,0.6,0.53,0.67,0.73
g_0,2.64,2.24,2.54,2.45,2.25,2.18,0.87,1.2,0.8,0.86,0.79,0.88,0.56,0.75,0.79,0.83
e_0,3.22,2.65,2.33,2.38,2.3,1.78,0.93,1.03,0.89,0.73,0.82,0.48,0.85,0.83,0.56,0.52
