,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,0.65,1.26,1.08,1.02,1.05,0.95,0.47,0.48,0.34,0.44,0.4,0.37,0.3,0.34,0.32,0.23
e_1,1.08,0.65,0.75,1.18,1.1,1.03,0.51,0.49,0.54,0.42,0.45,0.4,0.35,0.38,0.56,0.35
f_1,1.03,1.12,0.64,1.12,1.08,1.01,0.37,0.42,0.52,0.36,0.44,0.34,0.25,0.34,0.3,0.32
c_1,1.28,0.93,1.15,0.64,1.17,1.03,0.49,0.27,0.49,0.45,0.37,0.34,0.34,0.37,0.37,0.37
b_1,1.25,1.19,1.44,0.79,0.61,1.22,0.57,0.39,0.53,0.57,0.41,0.76,0.36,0.41,0.41,0.38
a_1,1.4,1.19,1.36,1.5,0.8,0.57,0.72,0.52,0.68,0.55,0.55,0.64,0.46,0.64,0.54,0.4
h_1,1.72,1.67,2.11,1.78,1.52,1.37,0.55,0.66,0.98,0.61,0.64,0.66,0.66,0.61,0.54,0.57
d_0,2.27,1.26,1.81,2.18,2.16,1.68,0.88,0.59,0.84,0.62,0.63,0.67,0.59,0.61,0.65,0.63
g_1,2.08,1.78,1.89,2.04,2.04,1.33,0.66,0.79,0.52,0.69,0.7,0.7,0.51,0.72,0.7,0.61
c_0,1.3,2.21,2.09,2.73,1.75,1.54,0.95,1.06,0.85,0.56,0.72,0.94,0.65,0.71,0.69,0.63
f_0,1.91,1.94,2.54,2.04,2.02,1.69,0.89,0.77,0.66,0.75,0.55,0.71,0.61,0.61,0.78,0.41
b_0,1.76,1.9,2.15,2.67,2.02,1.6,0.91,0.92,0.81,0.46,0.74,0.55,0.61,0.93,0.74,0.57
h_0,2.17,2.02,2.49,2.07,2.3,1.82,1.13,0.85,0.95,0.76,0.77,0.71,0.75,0.72,0.66,0.66
a_0,2.07,2.47,2.48,2.37,2.41,2.42,0.97,1.07,0.78,0.77,0.78,0.48,0.72,0.54,0.75,0.65
e_0,2.08,2.73,3.57,2.44,2.1,1.79,1.05,0.87,0.8,0.79,0.51,0.84,0.7,0.7,0.54,0.63
g_0,2.46,2.41,2.61,2.04,1.97,2.16,0.88,0.91,1.14,0.82,0.96,0.92,0.6,0.8,0.76,0.7
