,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,104.55,79.29,64.91,66.13,94.85,278.38,6264.25,13739.59,18435.38,20266.49,28217.41,24999.56,75794.37,78121.4,75372.93,138155.06
e_1,45.27,112.07,79.19,57.04,103.58,273.33,7087.8,17394.82,31288.74,22213.26,29583.48,39022.6,72817.2,78164.44,65311.76,153563.12
c_1,43.7,38.05,132.82,72.33,142.51,303.62,6074.19,13949.44,15431.78,8368.16,22457.48,32059.56,73581.57,66392.96,108400.74,124187.49
d_1,48.34,47.02,49.87,136.43,101.41,280.07,6582.66,12912.18,10299.56,30497.27,30811.49,35315.22,77538.63,73115.51,103482.05,103385.42
b_1,39.38,37.68,45.93,50.44,194.44,447.63,5839.62,12540.94,16596.3,18684.9,10867.68,30678.78,57978.23,56363.66,91220.59,120242.05
a_1,27.23,34.27,31.69,43.65,41.37,514.49,4218.07,8149.74,8919.73,10845.02,15439.64,19333.42,39795.53,20091.3,53953.81,59340.19
h_1,15.74,12.66,17.75,18.94,25.41,68.42,3076.05,4889.11,4817.48,5302.14,7198.03,8412.77,17025.61,19042.16,28409.69,50808.62
g_1,8.94,7.14,13.65,18.99,20.52,69.52,1372.3,5774.97,3707.33,4282.94,5870.6,11911.69,13613.59,19777.04,26457.43,22767.74
d_0,9.24,8.5,21.09,9.56,18.55,70.06,1400.31,2766.54,5421.94,3232.09,5783.26,7418.61,16571.94,14182.71,20912.31,31443.3
c_0,11.12,10.07,10.89,12.15,15.65,70.29,1504.51,2717.26,4117.01,5734.87,8664.58,7085.92,16129.19,17954.68,23620.23,26158.87
b_0,9.72,9.72,12.98,11.21,13.07,50.92,1180.51,2738.89,3194.0,3281.9,7441.31,6356.67,16676.87,23229.92,21231.44,29964.22
f_0,5.69,6.39,12.86,10.27,16.02,61.26,1288.21,2194.24,3321.64,3826.63,3955.57,9531.88,14401.81,10403.4,34082.27,24544.9
h_0,8.54,7.0,8.95,8.95,13.36,43.53,579.06,2648.26,2329.76,2413.92,3365.05,4574.39,8573.39,10750.18,12027.67,23868.52
a_0,6.66,7.33,9.05,8.61,14.61,34.83,922.47,1378.85,2037.79,2346.33,2981.11,4554.35,9725.27,16813.13,8879.04,18224.4
e_0,6.8,4.03,7.09,6.46,11.27,42.2,854.26,1893.34,2506.96,2135.32,2925.24,3935.35,11900.99,10536.27,21737.72,16120.81
g_0,5.01,5.34,7.9,10.01,9.57,37.7,650.99,1555.05,1852.61,2195.16,2540.79,4864.74,8830.73,8502.84,12742.25,12132.32
