,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.42,0.6,0.81,0.97,1.1,0.84,0.51,0.48,0.41,0.57,0.41,0.52,0.41,0.44,0.92,0.38
f_1,0.94,0.41,0.82,1.0,0.77,0.72,0.37,0.38,0.37,0.54,0.4,0.59,0.26,0.33,0.38,0.44
d_1,1.12,0.96,0.39,0.82,0.9,0.84,0.42,0.54,0.4,0.3,0.36,0.36,0.35,0.4,0.33,0.23
c_1,0.73,0.83,1.2,0.38,0.96,0.83,0.49,0.24,0.57,0.47,0.41,0.35,0.33,0.33,0.41,0.33
b_1,0.8,1.12,0.86,0.52,0.35,1.23,0.5,0.42,0.51,0.61,0.81,0.45,0.36,0.53,0.38,0.31
a_1,0.95,1.03,0.88,0.98,0.52,0.31,0.62,0.45,0.35,0.43,0.39,0.36,0.34,0.89,0.4,0.46
h_1,0.82,0.78,0.78,0.87,0.78,0.67,0.25,0.41,0.32,0.45,0.36,0.34,0.34,0.31,0.27,0.32
d_0,0.5,0.8,1.35,0.87,0.81,0.71,0.43,0.27,0.4,0.5,0.33,0.37,0.3,0.36,0.38,0.35
c_0,0.85,0.81,0.5,1.54,0.73,0.92,0.44,0.43,0.26,0.43,0.39,0.35,0.28,0.37,0.36,0.29
g_1,0.71,0.82,0.88,0.89,0.63,1.05,0.35,0.36,0.33,0.22,0.36,0.34,0.22,0.29,0.33,0.39
b_0,0.72,0.78,0.78,0.89,0.97,0.77,0.4,0.39,0.23,0.46,0.25,0.34,0.31,0.45,0.32,0.31
f_0,0.69,1.2,0.77,0.9,0.74,0.87,0.42,0.35,0.36,0.31,0.31,0.23,0.3,0.3,0.36,0.21
h_0,0.66,0.93,0.74,0.84,0.77,0.71,0.58,0.33,0.35,0.48,0.32,0.3,0.39,0.3,0.31,0.32
a_0,0.68,0.84,0.76,0.98,0.94,1.08,0.4,0.36,0.34,0.56,0.21,0.36,0.33,0.2,0.34,0.25
e_0,0.9,1.11,0.84,0.71,0.69,0.68,0.55,0.36,0.35,0.36,0.37,0.21,0.29,0.33,0.2,0.29
g_0,0.79,0.69,0.8,0.76,0.85,0.69,0.37,0.36,0.35,0.56,0.36,0.36,0.24,0.32,0.35,0.37
