,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,110.4,53.98,67.01,99.04,109.44,294.11,9168.0,23342.59,12751.4,15971.43,31546.35,41970.41,83963.31,97125.98,104480.69,144439.52
f_1,90.85,123.71,60.37,54.6,88.26,238.05,6730.68,12956.02,12390.93,18897.34,18618.34,29913.97,76096.29,70585.39,121098.6,121119.15
d_1,46.61,66.85,138.38,56.04,102.23,260.2,7439.34,8860.03,11921.86,26272.07,25237.69,35507.21,73050.64,101654.61,91945.84,115561.29
c_1,38.2,57.82,66.02,138.1,174.53,273.52,7747.0,10858.6,10712.75,8982.65,26176.8,23256.56,78818.73,92255.57,79928.69,135150.29
b_1,40.58,49.97,59.66,48.98,194.94,454.82,6375.45,11027.99,9751.2,14741.13,21989.53,21066.63,71275.74,89936.73,69502.21,118539.97
a_1,30.09,46.71,44.66,43.31,46.11,460.41,4319.86,8435.38,7881.89,7833.1,14913.87,21406.14,56573.95,72341.01,58049.8,78843.74
h_1,12.56,21.59,20.39,18.6,26.54,72.57,3275.01,3156.31,4778.4,4516.39,7028.82,8729.54,16371.58,26787.71,29704.64,48865.77
d_0,9.68,13.14,13.11,26.76,25.99,65.36,1996.31,4215.54,3293.6,2942.47,6681.22,8451.38,17951.52,24982.61,29345.1,34996.63
g_1,11.22,13.07,21.81,17.0,23.74,69.68,1543.67,2423.45,5011.98,3871.41,8859.1,6429.27,15892.86,21910.64,22369.38,25601.59
c_0,13.01,13.47,15.02,13.02,16.09,72.41,1802.91,3513.59,2706.75,5264.14,6024.23,11978.63,17507.16,21218.77,28680.7,33314.41
f_0,7.86,9.62,14.33,15.2,21.57,57.37,1510.51,2498.98,2375.04,3149.61,7340.69,6377.77,14637.22,34042.48,21441.23,23631.44
b_0,8.82,13.13,11.08,15.38,11.69,34.01,1484.76,2377.64,2701.2,2499.84,4420.69,8794.01,14095.27,20552.05,35618.49,25784.88
h_0,7.0,10.47,10.17,9.67,12.92,40.57,1008.71,1977.75,2320.2,2312.62,3690.17,4672.15,9585.34,13017.47,14160.13,23127.87
e_0,5.1,9.19,7.92,9.21,10.86,33.09,1110.44,1662.3,1878.61,2195.98,2660.33,4127.36,12941.7,21100.52,17529.21,18575.26
a_0,7.0,7.06,9.06,9.65,12.5,23.56,1062.1,1587.42,1883.97,2222.78,3009.21,3591.39,9348.49,10101.51,20272.58,15959.41
g_0,5.37,6.88,11.89,7.47,12.3,32.29,813.77,1368.91,1291.98,2227.97,4601.89,3574.18,8634.56,11801.75,14654.07,13835.33
