,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,9705.41,1353.96,1865.17,1462.72,3039.61,11652.98,2180980.76,8248760.21,3101931.42,4671776.84,7860606.9,11648968.92,41076221.5,45364399.83,18553729.13,117847800.15
f_1,1982.24,13667.88,1237.96,1841.33,2415.63,17792.21,1726776.1,3862979.37,2795771.18,4314414.28,9563267.19,2155700.0,42539008.12,33901536.57,35324869.46,125569222.62
c_1,906.92,1441.98,15056.6,1758.38,5887.58,11349.11,2704788.49,3609250.37,3538145.3,1016595.27,5356153.99,11270625.31,39080865.42,41099176.09,49900107.37,95371913.57
d_1,889.49,1389.66,1305.79,21019.78,3265.2,9462.76,1699575.46,939009.22,4139023.03,10625767.87,10969638.07,10743903.12,40177842.9,50896377.32,58532267.56,143789613.19
b_1,730.39,1134.12,1566.89,1970.41,39362.01,29915.8,1794263.84,4052281.84,3496652.89,5781439.25,2206150.79,10488987.41,38765452.96,32008017.0,55038434.92,165517833.52
a_1,1257.24,1513.61,1073.6,1656.25,3299.9,255453.87,2701228.0,4817491.63,3106454.92,5185194.67,8359688.4,7260995.86,45967984.34,,60900409.64,108337308.47
h_1,1604.27,3571.84,2668.72,2881.16,5358.75,18630.74,15196156.99,7425388.27,8453650.27,6539154.49,12602385.64,21301707.19,20294023.35,87866887.96,101210574.62,245545954.28
d_0,1861.89,2212.52,5128.0,1120.55,5596.17,18909.64,3146159.4,20943210.02,6034878.33,7206473.77,15274298.58,18934716.26,56976239.74,74827575.02,135028408.41,251420785.57
g_1,1706.28,2010.92,2165.2,6458.23,4736.87,17855.64,2671169.82,4848670.02,30152628.88,8800692.93,14086953.96,28899772.26,78732340.99,49632058.66,142532769.14,125734615.37
c_0,1606.0,3040.36,961.03,4305.74,4762.0,23091.56,4085556.27,8267065.95,5975914.25,23484567.08,30501342.88,25361931.54,72634994.51,113868406.9,110455348.97,259788799.61
b_0,1874.56,2827.67,3057.45,4422.96,1077.97,20607.36,3729221.02,7981032.8,5587515.42,8536171.96,44960087.13,20504203.46,71827211.67,176615907.37,109665623.75,213848563.57
f_0,1611.37,709.42,2939.64,4617.8,5323.95,23525.11,4178538.94,9465685.7,7195044.3,9999903.74,14518727.07,62235175.02,77326918.51,96476645.9,233314113.91,276228017.05
h_0,1826.09,2858.51,2835.21,4059.26,3919.13,25582.82,1198824.81,7126793.82,8403306.62,8394414.6,13711206.13,18309563.94,23182873.67,89512252.58,96948435.82,312014303.26
a_0,2033.98,3511.3,2713.2,3345.86,4077.31,,3686196.5,7355992.12,5784076.5,11933956.94,15790941.04,20267643.74,64155299.62,339430991.85,112824902.86,173326555.96
e_0,794.22,2883.38,3225.07,4162.3,4844.5,31623.32,3529505.09,7843682.2,8065259.24,5055199.96,13599805.36,17200874.33,80973551.01,74440471.04,481220027.66,203299601.27
g_0,1569.96,2211.82,2437.54,5905.37,4302.39,26272.68,3316090.85,5952647.71,,6816664.9,11577024.2,34001538.38,60833577.76,83171143.57,118601341.24,103246991.67
