,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,93.51,46.53,69.87,87.78,124.11,356.53,8391.8,13434.96,27455.9,20820.09,33065.97,37037.27,84324.06,101038.82,221266.75,143186.2
f_1,66.24,100.97,63.34,68.34,105.45,379.61,6317.39,11809.25,14124.63,17792.06,32870.08,15752.55,74303.17,89987.27,150274.31,156118.37
d_1,38.45,47.5,139.83,57.5,90.34,348.15,7105.92,10499.11,8970.61,28025.03,27686.69,27883.63,84403.28,88935.16,134944.7,145815.61
c_1,33.9,38.35,60.8,142.51,188.41,271.32,6880.51,10902.02,12473.32,10172.26,18570.77,28392.25,75510.09,77206.65,138603.91,160929.91
b_1,29.68,39.8,57.1,39.65,219.46,454.87,5320.88,10029.45,8975.17,15424.96,13950.61,22659.97,63830.7,66119.57,102589.61,129819.65
a_1,20.62,23.12,38.82,40.33,51.26,564.45,4356.95,6549.83,7527.42,10279.87,16648.98,18276.62,48096.63,24138.85,87496.5,87049.75
h_1,9.27,16.66,17.54,18.47,29.86,73.86,3200.06,4058.2,3978.5,4654.67,8278.04,6950.75,17509.22,27750.85,51700.45,38672.24
g_1,8.1,9.16,20.94,15.1,23.84,79.42,1581.43,4980.12,2915.44,3004.25,6464.49,8853.73,17359.91,21747.07,31546.93,37326.68
d_0,6.6,10.47,9.49,26.19,28.68,69.01,1579.4,2402.72,4593.03,3498.85,6208.22,5805.98,21248.86,21251.04,41074.37,34926.33
c_0,8.53,10.51,12.01,11.98,18.39,66.64,1510.26,2779.61,3416.95,5695.96,11041.91,5190.67,19435.14,18878.6,37621.36,39725.41
b_0,7.43,8.13,13.13,16.45,12.34,39.81,1410.78,2334.98,2482.58,2511.54,8007.95,5326.55,14083.34,28675.85,30275.01,29403.92
f_0,6.23,5.41,11.64,14.0,19.17,63.12,1389.85,2255.76,2817.52,3560.56,5589.29,8312.62,16424.04,18508.77,31035.79,51176.27
h_0,5.78,8.07,9.66,9.35,14.31,43.91,667.11,1992.02,1612.73,2144.59,4123.72,3730.52,7786.19,11483.42,32394.14,19187.15
a_0,4.76,5.59,8.88,9.84,12.11,24.79,818.32,1425.62,1991.16,2411.72,3341.84,3367.5,11192.16,20246.18,19802.27,18739.15
g_0,3.7,5.31,10.16,6.81,10.8,35.24,659.91,1042.15,1191.35,1832.97,3646.85,4008.17,7621.37,10687.23,16243.05,18180.13
e_0,2.64,5.02,7.57,6.73,11.4,37.02,888.78,1228.56,1709.98,1932.48,3381.97,2759.27,9572.54,10847.45,17794.19,30588.61
