,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.47,0.14,0.11,0.12,0.11,0.15,0.19,0.34,0.17,0.23,0.24,0.18,0.19,0.24,0.2,
f_1,0.27,1.48,0.17,0.17,0.16,0.12,0.23,0.19,0.16,0.23,0.15,,0.16,0.2,0.2,0.09
d_1,0.2,0.19,1.52,0.14,0.14,0.15,0.22,,0.16,0.33,0.18,0.2,0.19,0.19,0.16,0.18
c_1,0.24,0.18,0.2,1.55,0.24,0.11,0.19,0.19,0.21,,0.18,0.17,0.17,0.2,0.12,0.15
b_1,0.21,0.16,0.19,0.14,1.65,0.19,0.26,0.16,0.22,0.14,,0.21,,0.3,0.16,0.24
a_1,0.14,0.16,0.15,0.2,0.13,1.76,0.23,0.26,0.21,0.18,0.17,0.17,,0.31,0.35,
h_1,0.4,0.42,0.42,0.35,0.34,0.31,1.61,0.38,0.52,0.55,0.43,0.44,0.43,,0.43,0.48
d_0,0.35,0.48,,0.78,0.55,0.34,0.59,1.41,0.56,0.5,0.51,0.47,0.38,0.58,0.54,0.42
g_1,0.37,0.47,0.61,0.35,0.3,0.3,0.41,0.38,1.75,0.47,0.51,0.78,,0.34,,0.46
c_0,0.52,0.42,0.34,,0.52,0.43,0.45,0.67,0.46,1.43,0.69,0.66,0.38,0.72,0.75,0.37
b_0,0.47,0.64,0.51,0.44,,0.34,0.59,0.53,0.43,0.51,1.5,0.49,0.76,0.56,0.49,0.45
f_0,0.48,,0.5,0.52,0.41,0.47,0.56,0.56,0.3,0.48,0.47,1.5,0.69,0.65,0.55,0.75
a_0,0.45,0.47,0.41,0.5,,,0.65,0.81,,0.57,0.43,0.45,1.61,0.66,0.79,
h_0,0.53,0.86,0.6,0.55,0.29,0.55,,0.82,0.91,0.62,0.7,0.56,0.59,,0.92,0.64
g_0,0.62,0.56,0.92,0.69,0.67,0.31,0.8,0.63,,0.52,0.92,0.98,0.42,0.64,,0.43
e_0,,0.85,0.52,0.52,0.4,,0.5,0.76,0.42,0.69,0.48,0.47,,0.57,0.88,1.59
