,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,5.58,1.44,0.95,1.62,1.34,1.17,4.26,11.66,5.96,4.77,6.84,6.96,11.13,7.89,2.75,8.19
f_1,2.24,5.89,1.17,1.3,0.96,1.12,5.51,5.44,6.37,3.79,6.61,2.52,7.82,6.14,5.33,10.04
d_1,1.31,1.38,6.57,0.86,1.33,1.32,4.7,1.75,11.63,4.96,6.24,6.58,9.22,7.07,6.09,9.36
c_1,1.22,1.09,1.24,7.01,2.68,1.13,3.69,5.75,1.29,3.85,5.31,5.71,8.84,4.79,7.03,8.28
b_1,0.97,1.39,1.26,1.46,7.97,2.4,4.3,6.64,5.64,5.73,3.26,6.07,8.92,5.3,6.94,7.8
a_1,1.33,1.62,1.35,1.35,1.02,10.34,5.33,6.76,4.91,3.08,5.99,5.66,8.88,2.37,7.91,9.93
h_1,1.4,2.17,1.82,1.34,1.37,1.24,15.92,6.51,7.73,7.2,8.35,7.35,6.03,8.13,5.74,13.29
d_0,1.58,1.67,0.9,3.0,1.7,1.49,4.7,13.95,5.06,5.39,6.63,7.54,13.29,7.21,7.11,10.41
c_0,1.61,1.92,1.97,0.8,1.14,1.92,7.15,5.56,14.96,5.63,13.25,8.23,11.4,8.6,8.93,11.98
g_1,1.1,1.24,3.06,1.46,1.16,1.62,5.8,5.9,6.9,20.14,6.74,12.34,10.45,6.07,9.77,6.46
b_0,1.6,1.7,1.78,1.51,0.72,1.49,6.42,7.85,8.11,5.92,16.14,8.74,12.49,15.81,9.31,12.67
f_0,1.18,0.86,1.99,1.95,1.44,1.81,6.41,7.9,8.23,7.24,8.54,18.28,14.65,9.52,18.73,13.37
h_0,1.5,2.27,1.6,1.78,1.53,1.5,4.3,8.36,8.03,8.5,7.06,8.4,6.49,7.17,8.78,13.39
a_0,1.56,1.95,1.87,1.67,1.3,0.48,7.06,6.84,7.45,7.25,6.85,9.86,11.96,24.32,8.06,13.68
e_0,0.55,1.6,2.06,1.51,1.96,1.8,7.25,7.2,7.74,6.82,10.08,9.89,13.92,8.98,26.28,13.44
g_0,1.34,1.21,2.6,1.5,1.75,1.29,5.71,5.7,7.92,3.96,7.96,12.53,10.17,10.87,9.16,7.37
