,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.95,0.74,0.45,0.41,0.29,0.26,0.27,0.26,0.27,0.24,0.24,0.14,0.24,0.2,0.21,0.12
e_1,0.45,0.94,0.55,0.4,0.42,0.27,0.31,0.25,0.49,0.29,0.26,0.27,0.3,0.22,0.22,0.17
c_1,0.48,0.43,0.95,0.45,0.65,0.27,0.32,0.27,0.25,0.15,0.19,0.24,0.28,0.17,0.21,0.18
d_1,0.58,0.48,0.4,0.95,0.36,0.31,0.31,0.25,0.19,0.43,0.28,0.28,0.26,0.23,0.23,0.19
b_1,0.6,0.42,0.45,0.48,0.94,0.51,0.35,0.3,0.33,0.29,0.18,0.25,0.33,0.16,0.26,0.16
a_1,0.7,0.56,0.59,0.48,0.39,0.93,0.36,0.33,0.39,0.31,0.27,0.27,0.39,0.16,0.25,0.16
h_1,1.05,0.74,0.64,0.76,0.52,0.44,0.75,0.48,0.42,0.43,0.43,0.31,0.36,0.31,0.44,0.24
g_1,0.77,0.7,0.72,1.07,0.58,0.45,0.45,0.75,0.46,0.44,0.44,0.53,0.44,0.37,0.29,0.35
d_0,0.83,0.61,1.28,0.62,0.67,0.35,0.55,0.47,0.67,0.33,0.42,0.45,0.52,0.4,0.37,0.33
c_0,0.95,0.82,0.75,0.75,0.46,0.52,0.47,0.51,0.62,0.65,0.78,0.44,0.59,0.48,0.45,0.36
b_0,0.93,0.85,0.87,0.92,0.46,0.49,0.53,0.52,0.48,0.4,0.67,0.42,0.53,0.61,0.38,0.33
f_0,0.83,0.7,0.88,0.89,0.67,0.42,0.56,0.48,0.56,0.54,0.52,0.68,0.61,0.42,0.4,0.61
h_0,1.18,0.79,0.86,0.93,0.66,0.45,0.43,0.61,0.49,0.43,0.47,0.37,0.42,0.39,0.47,0.32
a_0,0.96,0.91,1.01,0.93,0.77,0.45,0.58,0.54,0.48,0.39,0.47,0.53,0.5,0.65,0.41,0.4
g_0,0.95,0.87,0.82,1.26,0.65,0.49,0.53,0.48,0.47,0.49,0.56,0.69,0.52,0.42,0.35,0.4
e_0,1.18,0.52,1.0,0.89,0.99,0.64,0.61,0.47,0.6,0.51,0.6,0.46,0.63,0.36,0.45,0.64
