,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,14.27,0.62,0.43,0.76,0.46,0.64,0.8,2.36,0.92,0.86,1.22,1.01,1.08,1.2,1.0,0.59
f_1,1.19,14.73,0.5,0.54,0.51,0.47,0.95,0.74,0.82,0.96,0.76,0.31,0.84,0.86,0.73,0.53
d_1,0.55,0.65,18.52,0.36,0.55,0.55,0.93,0.38,0.8,2.09,1.08,1.03,1.04,1.01,1.11,1.14
c_1,0.46,0.55,0.58,18.26,1.31,0.5,0.81,0.76,0.92,0.31,0.72,0.82,0.75,0.74,0.63,0.95
b_1,0.45,0.47,0.66,0.51,24.16,1.44,0.87,0.66,0.85,0.64,0.31,1.07,0.74,0.97,0.79,1.17
a_1,0.52,0.57,0.64,0.6,0.46,30.3,0.94,0.87,0.82,1.08,0.98,1.08,0.34,1.12,1.52,0.96
h_1,0.68,1.17,0.85,0.67,0.73,0.62,4.59,0.92,1.37,1.05,1.04,1.11,1.05,0.71,1.45,1.24
d_0,0.55,0.77,0.39,2.03,0.79,0.68,1.05,2.71,1.12,0.7,1.22,1.18,1.19,1.16,1.19,1.16
g_1,0.56,0.44,1.54,0.75,0.62,0.62,1.06,0.85,6.64,1.27,1.3,2.51,1.27,0.87,0.78,1.43
c_0,0.9,0.72,0.72,0.52,0.54,0.79,1.09,1.46,1.01,3.06,2.81,1.4,1.21,1.5,1.81,1.15
b_0,0.68,0.97,0.81,0.94,0.32,0.44,1.2,1.28,1.16,1.07,3.55,1.33,3.32,1.04,1.38,1.25
f_0,0.54,0.37,0.97,0.92,0.77,0.75,1.28,1.19,1.22,1.15,1.33,4.17,1.48,1.39,1.5,3.6
a_0,0.62,0.82,1.08,1.12,0.79,0.29,1.22,1.29,1.09,0.98,1.2,1.22,4.54,1.31,1.14,1.4
h_0,0.66,1.24,0.81,0.72,0.54,0.78,0.73,1.27,1.68,0.93,1.15,1.11,1.34,0.66,1.85,1.0
g_0,0.61,0.62,1.58,0.8,0.64,0.54,1.25,1.02,0.59,0.98,1.44,2.19,1.49,1.29,0.81,1.2
e_0,0.3,1.03,0.89,0.84,0.92,0.69,1.22,1.09,1.26,1.21,1.28,1.25,1.23,1.45,1.26,4.3
