,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,0.41,0.7,0.92,0.8,0.74,0.75,0.36,0.47,0.4,0.36,0.5,0.34,0.24,0.36,0.37,0.36
d_1,0.94,0.4,0.94,0.78,0.82,0.66,0.44,0.33,0.47,0.41,0.34,0.34,0.29,0.23,0.34,0.3
e_1,0.51,0.78,0.4,0.92,0.88,0.93,0.49,0.47,0.47,0.39,0.45,0.44,0.35,0.33,0.4,0.65
c_1,0.81,0.98,0.72,0.39,0.92,0.66,0.36,0.39,0.24,0.43,0.36,0.28,0.34,0.3,0.35,0.36
b_1,0.95,0.84,0.78,0.5,0.37,1.13,0.49,0.52,0.37,0.42,0.36,0.56,0.3,0.35,0.35,0.37
a_1,0.91,1.04,0.7,1.1,0.47,0.3,0.5,0.43,0.41,0.33,0.36,0.42,0.33,0.32,0.5,0.36
h_1,0.75,0.76,0.69,0.75,0.64,0.77,0.25,0.44,0.3,0.31,0.3,0.31,0.35,0.28,0.27,0.29
g_1,0.81,0.75,0.69,0.81,0.72,0.64,0.33,0.23,0.3,0.3,0.31,0.37,0.23,0.31,0.31,0.3
d_0,0.69,1.03,0.47,0.9,0.79,0.73,0.41,0.49,0.25,0.29,0.32,0.3,0.3,0.3,0.31,0.34
c_0,0.86,0.47,0.7,1.16,0.72,0.71,0.43,0.39,0.45,0.24,0.32,0.39,0.29,0.29,0.34,0.36
f_0,1.01,0.67,0.67,0.77,0.7,0.65,0.41,0.31,0.42,0.28,0.23,0.33,0.26,0.19,0.3,0.37
b_0,0.83,0.61,0.6,0.9,1.02,0.62,0.41,0.35,0.34,0.2,0.31,0.23,0.28,0.26,0.39,0.29
h_0,0.81,0.66,0.64,0.67,0.78,0.67,0.59,0.4,0.34,0.28,0.32,0.29,0.35,0.32,0.3,0.28
g_0,0.72,0.75,0.74,0.75,0.64,0.73,0.31,0.49,0.31,0.31,0.35,0.31,0.22,0.35,0.31,0.28
a_0,0.66,0.67,0.67,0.77,0.91,1.15,0.42,0.44,0.3,0.26,0.33,0.19,0.29,0.25,0.19,0.28
e_0,1.02,0.69,0.81,0.7,0.69,0.66,0.35,0.36,0.32,0.27,0.2,0.3,0.32,0.27,0.47,0.19
