,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,0.89,1.27,1.0,1.0,0.78,0.91,1.05,1.07,0.91,1.01,0.88,0.83,0.97,0.72,0.96
d_1,1.13,1.0,1.02,0.87,0.93,0.95,1.05,0.97,0.87,1.41,1.03,0.98,1.03,1.06,1.08,0.86
e_1,0.79,0.98,1.0,1.24,0.97,0.96,1.0,1.42,1.07,0.93,1.09,1.29,1.06,1.01,1.23,1.15
c_1,1.0,1.17,0.81,1.0,1.39,1.11,0.89,0.69,0.92,0.84,0.84,0.91,1.0,0.95,0.92,1.01
b_1,0.98,1.06,1.02,0.73,1.0,1.3,1.16,0.98,1.03,1.1,0.95,0.99,1.07,0.85,1.01,1.12
a_1,1.27,1.05,1.03,0.91,0.77,1.0,1.09,1.04,1.16,0.97,1.04,0.98,1.15,1.02,1.06,0.9
h_1,1.11,0.95,0.99,1.15,0.89,0.89,1.0,0.96,1.15,0.86,0.97,0.94,0.98,0.87,0.92,1.21
d_0,0.96,1.06,0.69,1.45,1.09,1.0,1.05,1.0,0.98,0.73,1.02,1.04,1.02,0.95,1.03,0.98
g_1,0.95,1.16,0.91,1.1,0.93,0.92,0.89,0.94,1.0,0.99,1.01,1.15,0.87,1.11,0.99,1.13
c_0,1.06,0.73,1.07,1.24,0.87,0.99,1.13,1.34,1.01,1.0,1.52,1.04,1.08,1.11,1.08,1.08
b_0,0.99,0.98,0.91,1.21,1.09,0.86,1.05,0.92,0.99,0.71,1.0,0.96,1.1,1.43,1.16,1.05
f_0,1.1,0.97,0.83,1.1,1.03,1.02,0.99,0.94,0.91,0.98,0.99,1.0,1.06,0.98,1.5,0.8
h_0,1.16,0.96,0.99,1.01,0.92,0.84,1.01,0.97,1.22,0.9,0.92,0.92,1.0,0.88,0.91,1.22
a_0,1.01,0.98,0.92,1.03,1.17,1.0,1.16,1.04,0.89,0.97,0.72,1.01,1.12,1.0,0.92,1.02
e_0,1.37,0.9,0.79,1.14,1.07,0.94,1.06,0.95,0.97,0.9,0.91,0.67,1.11,1.17,1.0,0.86
g_0,1.04,1.15,0.85,0.97,0.92,1.07,0.86,0.95,0.9,0.92,0.95,1.17,0.81,0.95,1.13,1.0
