,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.89,0.22,0.14,0.21,0.11,0.11,0.17,0.36,0.13,0.16,0.19,0.15,0.13,0.2,0.15,0.06
f_1,0.36,0.89,0.16,0.17,0.12,0.08,0.19,0.15,0.12,0.17,0.12,0.04,0.1,0.15,0.12,0.06
d_1,0.21,0.24,0.89,0.12,0.13,0.1,0.18,0.07,0.12,0.29,0.16,0.15,0.12,0.16,0.16,0.12
c_1,0.18,0.21,0.19,0.88,0.25,0.08,0.16,0.16,0.13,0.05,0.12,0.12,0.09,0.12,0.1,0.1
b_1,0.18,0.18,0.21,0.16,0.88,0.21,0.18,0.13,0.13,0.11,0.05,0.16,0.09,0.16,0.12,0.13
a_1,0.2,0.21,0.2,0.18,0.11,0.88,0.19,0.17,0.12,0.18,0.15,0.16,0.04,0.19,0.22,0.1
h_1,0.24,0.34,0.24,0.19,0.16,0.11,0.56,0.18,0.18,0.18,0.16,0.17,0.12,0.11,0.2,0.13
d_0,0.21,0.26,0.11,0.4,0.18,0.12,0.2,0.41,0.16,0.14,0.17,0.17,0.14,0.18,0.15,0.12
g_1,0.22,0.16,0.37,0.21,0.14,0.11,0.22,0.16,0.55,0.19,0.19,0.28,0.13,0.15,0.11,0.14
c_0,0.31,0.26,0.24,0.13,0.13,0.13,0.21,0.25,0.13,0.4,0.33,0.18,0.13,0.2,0.23,0.11
b_0,0.24,0.31,0.24,0.25,0.07,0.09,0.22,0.22,0.15,0.19,0.42,0.19,0.29,0.17,0.21,0.13
f_0,0.21,0.14,0.29,0.25,0.16,0.12,0.23,0.23,0.17,0.18,0.18,0.45,0.17,0.2,0.2,0.27
a_0,0.22,0.26,0.29,0.28,0.17,0.05,0.24,0.26,0.14,0.17,0.18,0.18,0.41,0.21,0.18,0.13
h_0,0.25,0.36,0.25,0.21,0.12,0.14,0.14,0.23,0.21,0.16,0.17,0.17,0.13,0.1,0.23,0.11
g_0,0.23,0.23,0.36,0.23,0.14,0.1,0.24,0.2,0.08,0.17,0.21,0.28,0.16,0.21,0.12,0.11
e_0,0.1,0.34,0.26,0.24,0.18,0.12,0.23,0.2,0.18,0.18,0.16,0.18,0.15,0.22,0.18,0.36
