,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,13076.55,2487.54,1606.32,2044.96,3050.84,7853.18,1523316.92,3317500.22,3313316.16,2916904.35,5930097.45,2100773.03,24727158.12,42568177.11,32060845.96,93018891.56
e_1,1368.82,13396.22,1752.41,2118.53,2548.39,8835.84,1477705.24,3237811.07,7753106.34,3223287.84,5241608.98,10800246.81,27263843.42,58609336.74,9553119.94,116130884.19
d_1,1483.21,1086.0,22414.17,1600.16,2748.49,8506.54,1438929.97,7462741.58,770038.26,2844239.38,6363748.24,10680960.42,32551987.9,62041738.68,48076796.55,129248120.24
c_1,1270.04,1279.62,1895.9,24623.04,5398.99,7718.7,1205146.32,749789.11,3968859.67,2914211.62,3864833.98,12145873.91,25648860.78,44600186.81,44063142.89,82319986.12
b_1,1373.74,1294.52,2371.38,1947.38,34196.55,17906.56,1174566.46,3021312.76,4325207.18,3285081.1,1004125.88,8642982.82,19201194.5,52153143.78,42510016.18,112166222.35
a_1,1526.24,906.68,2125.02,2388.21,2455.03,160415.57,1660147.55,3490646.37,3714483.37,2844937.71,5247388.75,8913092.93,6475180.63,67100361.21,51161822.15,127001624.59
h_1,2861.97,2422.01,3075.94,4043.36,3291.94,16291.18,9708263.46,6661626.85,6072855.82,6742570.7,10144989.17,19995467.95,64432404.12,43032523.79,93563792.27,256542693.8
c_0,2702.31,2403.21,4577.29,1598.85,4255.29,14312.67,2581052.73,15561327.05,5521545.86,5628066.4,17858416.21,15081635.71,74341266.89,95992752.55,92847290.89,204737730.89
d_0,2299.36,2548.53,1308.32,8147.91,4637.72,14135.73,2224775.57,4368238.72,17631100.04,5069857.57,9241710.31,17506441.91,40709345.69,88593668.09,91020198.29,166681250.78
g_1,1589.07,1845.49,6084.8,4149.36,4170.48,17425.94,1742364.8,5596678.64,5435586.7,25147523.32,8641696.25,25135770.6,53986675.4,104613549.2,76732416.26,92193828.64
b_0,2223.54,2485.99,4304.2,4300.37,1323.54,16628.99,2592654.37,6482825.51,6232213.24,6206410.65,26741781.76,19735970.37,101461176.0,108183566.79,74597224.14,208409290.01
f_0,800.67,2157.15,3599.04,4956.79,5883.76,19689.05,2854536.62,6289884.28,5921625.93,5310700.61,8447500.83,54218480.4,45361842.34,101577888.18,194140842.98,235907737.99
a_0,3009.93,2052.99,4311.09,3245.18,5266.33,7231.47,3189935.56,7482084.57,8324873.18,5304251.67,9073241.63,16064734.93,187432612.46,121141037.01,88303177.45,222801752.55
h_0,2862.76,2320.31,3871.25,3836.1,3805.42,19656.4,868424.25,6494208.88,7203379.31,6185205.5,10254677.62,16903937.5,47392969.61,41507117.16,94892966.81,234734067.65
e_0,2568.82,676.95,3189.02,3796.86,6639.66,17706.47,3349432.34,8093601.09,5716593.11,6475137.01,10031407.23,19578895.7,53749057.99,138258792.24,357627868.65,240822482.53
g_0,1873.81,2099.69,5407.06,4603.32,3863.96,18650.72,2906935.9,5937562.4,5158549.06,2619616.45,9481374.06,25895393.62,44233438.31,76976835.46,85403670.13,84504264.36
