,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,2.22,0.03,0.03,0.02,0.03,0.03,0.05,0.05,0.11,0.05,0.06,0.04,0.05,0.05,,0.09
f_1,0.05,2.32,0.04,0.03,0.03,0.02,0.05,0.04,0.07,0.06,0.08,,0.03,0.09,0.03,0.04
c_1,0.03,0.03,2.36,0.03,0.04,0.02,0.06,0.05,0.07,0.05,,0.08,0.05,0.08,0.04,0.07
d_1,0.03,0.03,0.03,2.39,0.03,0.03,0.06,0.06,,0.09,0.13,0.05,,0.06,0.06,0.04
b_1,0.03,0.03,0.03,0.02,2.51,0.04,0.05,0.04,0.06,,0.08,0.04,0.04,0.09,0.04,0.1
a_1,0.03,0.03,0.03,0.03,0.02,2.86,0.08,0.05,0.07,0.05,0.05,0.06,,0.08,,0.06
h_1,0.11,0.14,0.06,0.14,0.11,0.08,2.68,0.26,0.2,0.19,0.18,0.2,0.19,,0.29,0.36
g_1,0.1,0.1,0.11,0.16,0.06,0.08,0.21,2.96,0.18,0.24,0.23,0.38,,0.3,0.19,
d_0,0.12,0.13,0.28,,0.15,0.11,0.2,0.24,2.1,0.38,0.25,0.22,0.2,0.48,0.23,0.29
b_0,0.18,0.12,0.11,0.15,,0.08,0.38,0.16,0.2,2.08,0.35,0.33,0.52,0.33,0.28,0.35
c_0,0.16,0.15,,0.1,0.1,0.1,0.32,0.25,0.4,0.51,2.0,0.23,0.32,0.45,0.32,0.27
f_0,0.11,,0.12,0.15,0.2,0.09,0.25,0.26,0.33,0.29,0.27,2.34,0.21,0.31,0.4,0.43
a_0,0.14,0.14,0.14,,0.1,,0.23,,0.36,0.23,0.39,0.26,2.53,0.51,,0.4
h_0,0.19,0.35,0.23,0.2,0.23,0.17,,0.46,0.47,0.4,0.44,0.28,0.44,,0.31,0.65
e_0,,0.15,0.14,0.11,0.12,,0.33,0.24,0.18,0.42,0.22,0.41,,0.59,2.61,0.31
g_0,0.24,0.16,0.19,0.35,0.12,0.2,0.34,,0.35,0.51,0.41,0.63,0.52,0.61,0.3,
