,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,2.34,0.28,0.23,0.25,0.27,0.29,0.68,1.08,0.46,,0.64,0.56,0.73,0.61,0.56,0.64
f_1,0.24,2.41,0.44,0.24,0.29,0.28,0.55,0.59,0.55,0.73,0.65,,0.72,0.53,0.5,0.59
e_1,0.32,0.24,2.46,0.26,0.29,0.31,0.48,0.57,0.41,0.9,0.57,0.73,0.74,0.55,0.68,
c_1,0.31,0.3,0.29,2.67,0.47,0.28,0.37,,0.52,0.54,0.47,0.44,0.94,0.57,0.79,0.82
b_1,0.3,0.25,0.26,0.21,2.78,,0.6,0.67,0.47,0.56,,0.77,0.89,0.51,0.78,0.44
a_1,0.24,0.33,0.24,0.28,,3.28,0.51,0.67,0.56,0.55,0.82,0.67,0.77,,0.85,
h_1,0.47,0.6,0.56,0.73,0.43,0.45,3.77,1.23,1.36,1.2,1.06,1.09,,1.21,1.88,0.88
c_0,0.46,0.55,0.59,,0.57,0.55,1.3,3.36,1.09,1.57,2.2,1.34,1.79,1.67,1.88,1.34
g_1,0.73,0.41,0.54,0.62,0.5,0.53,0.96,1.14,4.16,0.68,1.17,1.71,1.55,1.27,,1.03
d_0,,0.59,0.65,0.98,0.75,0.59,1.2,1.24,1.46,3.54,1.72,1.18,1.72,0.95,1.17,1.07
b_0,0.51,0.65,0.65,0.73,,0.53,1.27,1.1,1.31,0.88,3.64,1.6,1.79,2.6,1.81,1.39
f_0,0.67,,0.47,0.71,0.5,0.51,1.14,1.6,1.27,1.7,1.08,3.81,1.39,1.14,1.82,2.77
h_0,0.82,0.96,0.82,0.59,0.62,0.66,,1.29,1.44,1.72,1.63,1.77,,1.81,2.94,1.73
a_0,0.61,0.59,0.52,0.5,0.73,,1.47,1.19,1.04,1.35,0.77,1.4,2.15,4.4,2.35,1.62
g_0,1.16,0.89,0.62,0.79,0.65,0.62,1.19,1.63,,1.82,1.56,2.06,1.86,1.27,,1.98
e_0,0.61,0.71,,0.45,0.81,,1.7,1.27,1.61,1.53,1.46,1.06,1.64,1.4,1.36,4.45
