,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,1.76,1.27,0.8,0.83,0.68,0.62,0.89,0.92,0.9,0.9,0.64,0.93,0.86,1.0,0.68,0.93
e_1,0.85,1.74,0.68,1.05,0.8,0.7,0.98,1.58,0.97,0.87,0.95,1.01,0.97,0.98,0.79,0.91
d_1,0.92,0.84,1.95,0.62,0.68,0.82,1.06,0.7,0.97,1.73,1.06,1.18,1.06,1.03,1.03,1.04
c_1,0.77,0.67,0.82,1.98,1.35,0.84,0.86,0.97,0.9,0.58,1.02,0.71,0.91,0.94,1.05,0.98
b_1,0.83,0.72,0.79,0.73,2.13,1.51,0.89,0.82,0.87,0.77,1.03,0.64,0.78,0.95,1.04,0.97
a_1,0.89,0.88,0.89,0.81,0.73,2.91,1.03,0.96,0.99,1.03,1.03,1.12,0.85,1.03,0.9,0.91
h_1,1.05,0.87,1.0,0.87,0.81,0.71,1.69,0.89,1.32,1.02,1.07,1.04,0.98,0.85,1.04,1.39
d_0,0.86,0.74,0.76,1.48,0.99,0.69,1.03,1.38,0.97,0.71,0.89,1.04,1.0,1.04,1.08,1.06
g_1,0.8,0.8,1.37,0.82,0.74,0.71,1.01,0.86,2.13,1.05,1.45,1.08,1.1,1.08,1.24,0.93
c_0,1.01,0.86,1.02,0.65,0.67,0.74,1.18,0.86,1.15,1.51,1.13,1.83,1.49,1.17,1.16,1.19
f_0,0.66,0.77,0.99,1.01,0.93,0.85,1.12,1.01,1.17,1.06,1.64,1.23,1.34,1.03,2.19,1.09
b_0,0.91,0.93,1.01,0.86,0.74,0.54,1.15,0.94,1.02,1.13,1.1,1.76,2.21,1.12,1.1,1.06
a_0,0.92,0.85,0.96,0.82,0.83,0.62,1.2,1.0,1.02,1.19,1.11,1.16,1.9,1.23,1.25,1.21
h_0,1.15,0.85,1.0,0.95,0.79,0.75,0.85,0.87,1.19,0.98,0.94,1.04,0.95,0.81,1.08,1.29
e_0,0.84,0.54,0.93,1.13,1.02,0.85,1.07,0.95,1.17,1.01,1.15,1.12,1.14,1.23,2.01,1.16
g_0,0.81,0.78,1.3,0.89,0.75,0.77,1.12,0.91,0.77,1.06,1.72,1.12,1.14,1.02,1.42,0.92
