,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.52,0.98,1.0,1.17,0.92,0.77,1.2,1.13,1.04,1.75,1.14,1.17,1.28,1.0,0.92,1.3
f_1,1.46,1.54,0.9,1.01,0.85,0.83,1.03,1.01,0.99,1.2,1.1,0.88,1.18,0.96,0.72,1.09
d_1,1.05,1.11,1.56,0.8,0.89,0.88,1.22,1.8,1.01,1.1,1.28,1.16,1.34,1.14,1.17,1.18
c_1,1.0,1.02,1.12,1.62,1.43,0.93,1.11,0.97,1.14,1.01,1.07,1.15,1.27,0.89,1.01,1.18
b_1,1.02,1.14,1.12,0.96,1.67,1.48,1.18,1.19,1.11,1.15,0.99,1.14,1.36,0.88,1.01,1.25
a_1,1.18,1.16,1.11,1.02,0.83,1.75,1.44,1.29,1.3,1.2,1.46,1.39,1.53,1.19,1.26,1.31
h_1,1.2,1.59,1.32,1.15,1.15,0.9,1.88,1.4,1.52,1.46,1.41,1.44,1.41,1.34,1.32,1.81
c_0,1.31,1.49,1.23,1.18,1.11,1.04,1.63,1.85,1.49,1.71,2.29,1.5,1.81,1.64,1.38,1.63
g_1,1.24,1.29,1.74,1.09,1.27,1.1,1.33,1.59,1.94,1.35,1.45,1.69,1.47,1.41,1.33,1.27
d_0,1.2,1.35,1.12,1.87,1.4,1.04,1.45,1.22,1.47,1.77,1.52,1.43,1.65,1.32,1.31,1.59
b_0,1.47,1.44,1.37,1.34,1.14,0.77,1.57,1.38,1.38,1.47,1.87,1.48,1.6,2.33,1.39,1.55
f_0,1.15,1.27,1.38,1.4,1.32,1.14,1.57,1.59,1.37,1.72,1.56,1.89,1.75,1.55,2.23,1.51
h_0,1.46,1.63,1.35,1.27,1.28,1.08,1.26,1.47,1.69,1.61,1.67,1.4,1.53,1.39,1.3,1.82
a_0,1.39,1.57,1.44,1.5,1.41,0.76,1.63,1.62,1.5,1.65,1.3,1.51,1.86,1.94,1.34,1.55
e_0,1.32,1.9,1.26,1.34,1.29,1.17,1.65,1.72,1.49,1.59,1.68,1.39,1.86,1.55,1.96,1.7
g_0,1.28,1.39,1.74,1.41,1.28,1.11,1.44,1.64,1.43,1.51,1.76,2.08,1.65,1.46,1.47,1.45
