,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,5.87,3.59,1.93,2.19,2.08,1.81,7.47,7.63,9.86,9.37,6.33,10.56,15.51,11.22,8.43,14.66
e_1,2.3,5.95,1.82,2.73,2.52,2.12,7.53,8.11,17.88,9.94,11.27,10.8,16.69,11.54,7.8,17.33
d_1,2.34,2.1,6.17,1.82,2.01,1.88,7.78,8.42,7.26,19.63,11.94,13.42,18.14,13.4,12.55,17.18
c_1,2.15,2.08,2.16,6.98,4.18,1.98,7.78,8.06,8.83,4.77,10.48,6.91,13.01,10.08,12.11,13.91
b_1,2.35,2.07,2.13,2.08,7.99,4.91,8.9,8.02,10.26,8.32,9.24,5.93,15.78,8.03,11.39,15.42
a_1,2.45,2.21,2.48,2.01,2.12,11.46,9.77,9.36,7.99,10.79,11.7,12.2,18.46,5.24,10.66,16.99
h_1,3.31,2.26,2.62,2.54,2.31,2.67,17.87,10.91,10.95,8.5,10.6,9.41,11.48,10.43,11.31,24.23
g_1,2.34,2.15,3.55,2.7,2.14,2.21,8.55,19.42,9.1,11.15,15.48,9.66,15.58,13.55,12.88,12.7
d_0,2.31,2.32,1.36,4.73,2.85,2.9,8.4,9.35,18.39,7.2,12.02,9.08,16.05,12.22,11.17,16.02
c_0,2.78,2.4,2.94,2.03,1.8,2.17,9.86,9.3,10.56,20.17,10.97,24.43,17.7,16.36,13.26,21.09
f_0,1.9,1.94,2.76,2.71,2.84,2.43,10.5,9.25,11.25,12.76,21.73,10.56,17.91,9.94,26.99,22.51
b_0,2.78,2.0,2.98,3.05,1.6,1.7,8.76,8.63,12.29,11.24,12.07,22.47,21.36,26.13,14.1,22.76
h_0,3.32,2.46,2.5,2.32,2.09,2.3,6.6,12.49,10.88,10.68,11.55,12.84,13.6,13.86,12.03,23.34
a_0,2.5,2.2,2.96,2.71,2.82,1.39,10.65,9.2,10.11,10.81,11.03,10.61,19.65,26.84,14.95,21.77
e_0,2.66,1.6,2.65,2.67,2.58,3.01,10.79,9.15,12.38,11.45,12.61,13.06,22.06,12.72,26.42,16.59
g_0,2.27,2.04,3.5,2.48,2.45,2.4,8.21,7.29,8.86,14.41,18.76,12.36,18.31,14.1,15.96,15.07
