,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.66,0.75,1.03,1.24,1.14,0.92,0.51,0.46,0.39,0.54,0.39,0.51,0.33,0.36,0.5,0.32
f_1,1.14,0.65,1.01,1.15,1.01,0.8,0.38,0.39,0.36,0.53,0.4,0.46,0.26,0.32,0.32,0.35
d_1,1.27,1.21,0.64,1.06,1.09,1.01,0.45,0.48,0.44,0.33,0.39,0.37,0.32,0.36,0.34,0.23
c_1,0.95,1.11,1.54,0.63,1.28,1.05,0.54,0.28,0.55,0.49,0.39,0.38,0.32,0.36,0.41,0.34
b_1,1.19,1.39,1.24,0.74,0.61,1.39,0.6,0.46,0.55,0.68,0.61,0.48,0.36,0.46,0.37,0.35
a_1,1.45,1.63,1.35,1.3,0.74,0.57,0.71,0.57,0.47,0.54,0.56,0.48,0.45,0.7,0.49,0.45
h_1,1.81,1.76,1.64,1.83,1.63,1.37,0.55,0.7,0.62,0.83,0.63,0.62,0.55,0.55,0.48,0.53
d_0,1.32,1.78,2.44,2.15,2.0,1.57,0.89,0.59,0.7,0.95,0.64,0.72,0.59,0.68,0.69,0.66
c_0,2.11,2.12,1.22,2.81,1.79,1.91,0.87,0.88,0.57,0.83,0.75,0.67,0.54,0.7,0.61,0.52
g_1,1.83,1.97,2.1,2.09,1.51,2.11,0.68,0.71,0.65,0.52,0.68,0.68,0.42,0.55,0.64,0.62
b_0,1.89,1.99,1.74,2.4,2.14,1.78,0.93,0.78,0.48,0.93,0.56,0.66,0.56,0.82,0.59,0.54
f_0,1.86,2.55,1.91,2.19,1.75,2.07,0.86,0.78,0.74,0.64,0.69,0.54,0.58,0.58,0.72,0.38
h_0,2.1,2.55,2.14,2.28,2.18,1.95,1.22,0.79,0.85,1.08,0.79,0.75,0.75,0.72,0.78,0.65
a_0,2.28,2.43,2.31,2.52,2.66,2.17,1.0,0.9,0.76,1.26,0.53,0.86,0.76,0.53,0.7,0.57
e_0,2.78,3.37,2.35,2.29,1.96,1.94,1.26,0.94,0.94,0.85,0.94,0.52,0.68,0.78,0.52,0.63
g_0,2.51,2.28,2.48,2.37,2.44,1.95,0.89,0.92,0.87,1.13,0.85,0.92,0.57,0.79,0.86,0.77
