,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,10.55,1.83,0.68,0.72,0.55,0.54,0.83,0.88,0.87,0.86,0.55,0.91,0.82,1.0,0.62,0.9
e_1,0.73,9.95,0.53,1.09,0.7,0.62,0.97,2.53,0.96,0.81,0.93,1.02,0.95,0.97,0.74,0.88
d_1,0.85,0.71,12.89,0.47,0.55,0.76,1.1,0.59,0.96,2.96,1.09,1.28,1.08,1.05,1.05,1.05
c_1,0.61,0.49,0.71,12.59,1.83,0.78,0.78,0.95,0.86,0.46,1.04,0.62,0.89,0.91,1.06,0.98
b_1,0.7,0.54,0.66,0.6,13.8,1.95,0.84,0.74,0.82,0.68,1.04,0.55,0.72,0.93,1.05,0.96
a_1,0.79,0.77,0.82,0.7,0.61,18.24,1.05,0.93,0.99,1.05,1.04,1.19,0.81,1.05,0.87,0.88
h_1,1.11,0.75,0.99,0.78,0.72,0.63,3.06,0.84,1.53,1.03,1.11,1.06,0.98,0.78,1.06,1.66
d_0,0.74,0.57,0.62,2.52,0.99,0.61,1.05,1.82,0.95,0.61,0.85,1.06,1.0,1.07,1.11,1.08
g_1,0.66,0.65,2.04,0.7,0.62,0.63,1.02,0.8,4.11,1.08,1.85,1.12,1.13,1.12,1.34,0.9
c_0,1.01,0.74,1.05,0.5,0.54,0.66,1.34,0.79,1.23,2.15,1.21,2.94,1.79,1.28,1.22,1.29
f_0,0.48,0.61,0.98,1.03,0.89,0.79,1.21,1.02,1.27,1.09,2.36,1.37,1.51,1.04,3.48,1.13
b_0,0.82,0.85,1.02,0.77,0.61,0.45,1.28,0.91,1.03,1.22,1.16,2.71,3.67,1.19,1.14,1.09
a_0,0.85,0.73,0.93,0.71,0.73,0.53,1.37,1.0,1.03,1.34,1.17,1.24,2.71,1.4,1.36,1.32
h_0,1.39,0.73,1.0,0.9,0.68,0.68,0.77,0.8,1.3,0.96,0.92,1.06,0.93,0.74,1.1,1.46
e_0,0.71,0.36,0.87,1.27,1.04,0.8,1.13,0.92,1.25,1.02,1.24,1.18,1.2,1.39,2.94,1.24
g_0,0.67,0.63,1.77,0.81,0.63,0.7,1.21,0.86,0.7,1.1,2.62,1.18,1.2,1.04,1.64,0.89
