,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.94,0.7,0.33,0.38,0.37,0.24,0.27,0.27,0.26,0.27,0.29,0.15,0.18,0.18,0.12,0.18
e_1,0.39,0.94,0.38,0.45,0.36,0.32,0.3,0.28,0.46,0.27,0.28,0.27,0.21,0.25,0.12,0.2
d_1,0.53,0.4,0.94,0.33,0.37,0.27,0.31,0.47,0.16,0.21,0.32,0.27,0.25,0.26,0.21,0.21
c_1,0.43,0.4,0.42,0.94,0.65,0.25,0.27,0.16,0.23,0.23,0.21,0.27,0.19,0.19,0.19,0.15
b_1,0.46,0.43,0.47,0.35,0.94,0.53,0.27,0.28,0.3,0.27,0.17,0.21,0.16,0.26,0.19,0.24
a_1,0.61,0.38,0.52,0.52,0.32,0.94,0.37,0.32,0.32,0.29,0.3,0.25,0.14,0.3,0.25,0.25
h_1,0.88,0.66,0.61,0.65,0.53,0.4,0.75,0.44,0.45,0.44,0.45,0.38,0.33,0.27,0.29,0.39
c_0,0.75,0.76,0.68,0.56,0.53,0.49,0.49,0.66,0.44,0.45,0.73,0.37,0.4,0.38,0.31,0.36
d_0,0.71,0.6,0.54,1.13,0.63,0.46,0.44,0.36,0.65,0.41,0.42,0.42,0.29,0.38,0.32,0.31
g_1,0.59,0.56,0.99,0.71,0.57,0.43,0.44,0.41,0.41,0.74,0.4,0.56,0.36,0.4,0.3,0.28
b_0,0.69,0.75,0.7,0.77,0.41,0.47,0.5,0.42,0.47,0.47,0.66,0.44,0.6,0.41,0.29,0.37
f_0,0.62,0.65,0.71,0.76,0.77,0.56,0.57,0.49,0.45,0.37,0.4,0.66,0.33,0.41,0.62,0.33
a_0,0.97,0.8,0.82,0.71,0.69,0.47,0.6,0.52,0.62,0.42,0.41,0.4,0.62,0.5,0.34,0.41
h_0,1.06,0.82,0.78,0.78,0.62,0.62,0.38,0.56,0.58,0.54,0.54,0.42,0.35,0.33,0.37,0.45
e_0,1.06,0.53,0.7,0.84,0.77,0.6,0.62,0.61,0.52,0.52,0.6,0.37,0.44,0.53,0.64,0.48
g_0,0.81,0.79,1.11,0.9,0.59,0.56,0.55,0.6,0.52,0.34,0.48,0.64,0.34,0.4,0.37,0.29
