,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.67,1.55,1.46,1.18,1.2,1.04,0.45,0.69,0.51,0.43,0.49,0.63,0.33,0.48,0.41,0.43
e_1,0.89,0.66,1.62,1.48,1.7,1.27,0.7,0.65,0.72,0.56,0.54,0.66,0.48,0.5,0.5,0.94
c_1,1.46,1.21,0.65,1.65,1.54,1.22,0.8,0.64,0.32,0.66,0.53,0.5,0.38,0.42,0.43,0.45
d_1,1.61,1.59,1.47,0.64,1.41,1.47,0.58,0.42,0.75,0.54,0.44,0.47,0.38,0.52,0.29,0.44
b_1,2.07,1.46,0.91,1.71,0.62,1.82,0.8,0.81,0.66,0.76,1.05,0.59,0.54,0.58,0.51,0.45
a_1,1.95,1.96,2.11,1.73,1.03,0.56,0.88,0.92,0.82,0.69,0.64,0.84,0.72,1.17,0.6,0.61
h_1,2.38,2.07,2.1,2.13,1.93,1.93,0.58,1.08,0.79,0.89,0.84,0.69,1.0,0.71,0.69,0.83
g_1,2.35,2.66,2.3,2.48,2.24,2.08,0.88,0.56,0.88,0.81,0.76,0.86,0.54,0.76,0.8,0.95
d_0,2.42,1.42,2.73,3.71,2.26,1.85,1.25,1.17,0.62,0.75,0.92,0.87,0.78,0.94,0.73,0.86
c_0,2.91,2.27,4.64,1.61,2.3,2.18,1.05,1.18,1.2,0.63,1.05,0.89,0.79,1.1,0.77,0.98
b_0,2.67,2.43,3.63,2.27,3.59,2.64,1.12,1.03,0.89,0.49,0.59,0.82,0.72,0.9,0.59,0.74
f_0,3.73,2.3,2.67,2.24,2.41,2.6,1.33,0.83,0.98,0.83,0.91,0.57,0.86,0.84,0.52,0.98
h_0,3.15,2.53,2.61,2.77,2.4,2.0,1.45,1.24,0.86,0.87,0.86,0.8,1.07,0.87,0.77,0.75
a_0,2.97,2.54,3.33,2.61,4.13,4.52,1.24,1.22,0.88,0.76,0.63,0.87,0.79,0.57,0.74,1.09
g_0,3.22,3.12,3.09,2.75,2.55,2.69,1.08,1.61,1.1,0.9,1.07,1.09,0.8,1.03,1.16,0.98
e_0,4.56,2.84,3.09,2.9,3.34,3.54,1.47,1.07,1.03,0.93,1.02,0.59,0.93,0.81,0.78,0.54
