,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.3,1.25,1.22,1.48,3.39,18.64,24.0,34.31,31.86,44.56,53.72,61.78,85.07,75.06,113.33
e_1,0.77,1.0,1.42,1.17,1.69,3.59,19.96,31.3,36.67,34.62,41.95,55.59,65.41,86.52,107.27,127.03
c_1,0.8,0.7,1.0,1.09,1.8,3.13,17.36,15.01,26.22,21.87,28.19,39.95,58.29,71.6,76.38,86.25
d_1,0.84,0.84,0.9,1.0,1.22,2.49,14.83,19.18,20.58,33.26,37.21,35.17,49.9,68.56,65.86,70.25
b_1,0.67,0.6,0.55,0.84,1.0,3.53,14.92,14.5,21.73,23.55,29.19,36.58,43.1,51.67,55.88,69.74
a_1,0.29,0.28,0.33,0.39,0.29,1.0,6.54,6.51,10.79,9.1,15.11,15.0,20.7,24.34,24.46,26.93
h_1,0.05,0.05,0.06,0.07,0.07,0.15,1.0,1.06,1.84,1.59,1.98,2.43,3.36,3.97,4.21,6.44
d_0,0.04,0.03,0.07,0.05,0.07,0.15,0.94,1.0,1.49,1.2,1.84,1.98,2.81,3.77,3.97,5.22
g_1,0.03,0.03,0.04,0.05,0.05,0.09,0.53,0.66,1.0,1.01,1.26,1.88,1.8,2.41,2.97,3.44
c_0,0.03,0.03,0.05,0.03,0.04,0.1,0.62,0.84,0.97,1.0,1.71,1.57,2.38,3.05,2.68,3.65
b_0,0.02,0.02,0.03,0.03,0.04,0.07,0.5,0.54,0.83,0.61,1.0,1.32,1.82,2.82,1.86,2.8
f_0,0.02,0.02,0.03,0.03,0.03,0.07,0.39,0.48,0.5,0.63,0.8,1.0,1.41,1.55,2.47,1.87
h_0,0.02,0.02,0.02,0.02,0.02,0.05,0.3,0.33,0.58,0.46,0.58,0.69,1.0,1.28,1.29,1.9
a_0,0.01,0.01,0.01,0.01,0.02,0.04,0.24,0.26,0.42,0.33,0.36,0.66,0.76,1.0,1.16,1.17
e_0,0.01,0.01,0.01,0.02,0.02,0.04,0.24,0.25,0.31,0.34,0.49,0.4,0.8,0.91,1.0,1.31
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.15,0.19,0.3,0.28,0.38,0.53,0.55,0.85,0.82,1.01
