,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.66,0.84,0.72,0.99,0.82,0.77,0.89,1.58,0.97,0.89,1.05,1.1,0.91,1.02,0.73,1.09
f_1,1.25,1.79,0.8,0.81,0.64,0.68,0.9,0.95,0.92,0.89,0.96,0.59,0.97,0.99,0.68,0.84
d_1,0.83,0.86,2.0,0.67,0.65,0.67,1.13,0.66,1.04,1.68,1.18,1.05,1.07,0.98,1.1,1.08
c_1,0.73,0.77,0.77,1.91,1.4,0.84,0.91,0.87,0.83,0.65,0.72,0.92,0.91,0.97,1.02,0.99
b_1,0.77,0.82,0.82,0.84,2.12,1.5,0.92,0.94,0.88,0.82,0.68,0.98,0.8,0.95,1.08,0.85
a_1,0.78,0.96,0.81,0.85,0.85,2.99,1.03,0.83,0.92,0.95,0.93,1.01,0.68,0.95,1.05,0.89
h_1,0.91,1.14,0.9,0.86,0.8,0.68,1.73,0.88,1.22,0.9,1.03,0.96,1.07,0.86,1.12,1.33
d_0,0.8,0.85,0.7,1.45,0.95,0.75,0.89,1.46,1.02,0.69,1.06,1.08,1.11,1.05,0.95,0.94
g_1,0.74,0.75,1.34,0.85,0.82,0.7,1.06,0.8,2.18,1.15,1.11,1.67,1.11,1.1,1.32,0.91
c_0,0.86,0.95,1.02,0.83,0.61,0.73,1.09,1.06,1.12,1.64,1.95,1.12,1.45,1.17,1.1,1.2
b_0,0.87,0.96,0.95,0.94,0.73,0.63,1.19,1.0,1.19,1.09,1.62,1.09,2.06,1.15,1.17,1.11
f_0,0.7,0.7,1.03,0.92,1.02,0.87,1.07,1.03,1.14,1.03,1.2,1.73,1.15,1.1,2.04,1.29
a_0,0.94,0.91,0.87,0.87,0.81,0.63,1.04,1.01,1.07,1.0,1.0,1.1,2.03,1.2,1.12,0.99
h_0,0.88,1.06,1.1,0.82,0.78,0.69,0.83,0.93,1.33,1.0,0.99,1.11,1.1,0.91,1.1,1.44
e_0,0.7,0.97,1.06,0.86,0.82,1.05,1.09,0.85,1.03,1.04,1.28,1.08,1.16,1.21,1.94,1.1
g_0,0.77,0.79,1.31,0.86,0.9,0.72,0.99,0.83,0.79,1.07,1.0,1.53,1.02,1.05,1.34,0.81
