,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.74,0.79,0.74,0.99,0.85,0.73,1.0,0.89,0.93,1.53,1.04,1.11,0.97,0.91,0.78,1.01
f_1,1.29,1.78,0.77,0.81,0.63,0.66,0.94,0.92,0.88,0.94,1.0,0.72,0.91,0.93,0.65,0.86
d_1,0.78,0.93,1.88,0.65,0.67,0.69,1.02,1.07,1.6,0.7,1.19,1.08,1.04,1.06,1.2,1.06
c_1,0.78,0.81,0.71,1.99,1.44,0.79,0.87,0.88,0.59,0.94,0.72,0.87,0.9,0.91,0.86,0.81
b_1,0.76,0.82,0.85,0.75,2.21,1.64,0.95,0.93,0.86,0.82,0.69,0.84,1.02,0.77,0.9,0.97
a_1,0.71,0.88,0.97,0.87,0.7,3.21,0.91,0.88,1.0,1.04,1.01,0.95,1.2,0.71,1.07,1.07
h_1,0.83,1.05,0.96,0.89,0.83,0.71,1.71,1.31,0.95,0.87,1.02,1.01,0.77,1.17,1.11,1.35
g_1,0.71,0.77,1.36,0.72,0.79,0.81,1.06,2.11,1.12,0.74,0.97,1.57,1.15,1.13,1.17,0.9
c_0,0.93,0.96,1.0,0.75,0.68,0.74,1.08,1.11,1.42,0.97,1.68,1.07,1.12,1.35,1.22,1.27
d_0,0.77,0.83,0.71,1.47,0.98,0.73,0.96,1.01,0.72,1.45,0.93,1.1,0.96,1.12,1.15,1.0
b_0,0.93,0.95,0.92,0.98,0.66,0.64,1.09,1.01,0.96,1.12,1.62,1.12,1.15,1.95,1.18,1.15
f_0,0.66,0.85,0.98,1.0,0.83,0.77,1.17,1.08,1.04,1.04,1.14,1.74,1.19,1.21,2.29,1.04
h_0,0.92,1.17,0.99,0.76,0.73,0.68,0.81,1.18,1.04,0.91,0.95,1.15,0.91,1.11,1.18,1.39
a_0,0.91,0.9,1.05,0.86,0.85,0.76,1.06,0.98,1.1,0.94,1.0,0.99,1.13,1.73,1.06,1.16
e_0,0.65,0.91,0.96,1.17,0.95,0.69,1.02,0.87,1.0,1.03,1.13,1.06,1.11,1.29,2.07,1.16
g_0,0.81,0.82,1.25,0.8,0.79,0.66,1.09,0.88,1.15,0.87,1.05,1.48,1.02,1.14,1.35,0.97
