,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.0,0.81,0.92,1.27,0.97,1.06,1.06,1.37,1.07,0.9,0.93,1.05,1.02,1.13,1.0,1.18
f_1,1.26,1.0,0.9,0.98,1.02,0.86,0.82,1.03,1.04,0.93,0.99,0.79,0.87,0.74,0.98,0.96
d_1,1.04,1.11,1.0,0.9,0.94,0.83,1.02,1.01,0.8,1.25,1.05,0.98,1.0,1.1,0.99,0.82
c_1,0.78,1.04,1.1,1.0,1.36,0.98,1.0,0.66,1.09,0.87,0.9,1.03,0.98,0.94,0.91,0.94
b_1,1.04,0.95,1.05,0.73,1.0,1.48,1.02,1.0,1.09,1.04,1.18,1.06,1.23,1.01,0.99,1.02
a_1,0.95,1.16,1.21,1.04,0.69,1.0,1.15,1.01,1.02,1.15,1.1,1.09,1.05,1.05,1.2,1.13
h_1,0.94,1.18,0.97,0.98,0.96,0.88,1.0,0.96,1.19,0.92,0.95,0.79,0.99,0.94,0.9,1.12
d_0,0.74,0.99,1.0,1.5,0.97,0.98,1.1,1.0,1.07,0.89,0.94,1.03,1.01,0.94,0.99,1.2
g_1,0.92,0.96,1.23,0.94,0.93,0.93,0.81,0.91,1.0,0.97,1.05,1.22,0.9,1.03,0.99,0.98
c_0,1.14,1.1,0.81,1.18,0.96,0.83,1.1,1.1,1.01,1.0,1.33,1.11,1.03,1.11,1.14,1.02
b_0,1.09,1.0,0.95,1.14,0.93,0.87,1.06,1.06,1.0,0.77,1.0,1.0,1.08,1.14,1.42,1.03
f_0,0.91,1.21,1.03,1.02,1.02,0.92,1.29,0.92,0.84,0.96,1.01,1.0,0.98,1.4,0.88,0.85
h_0,0.93,1.16,1.0,1.02,0.86,0.89,1.0,0.97,1.11,0.93,0.97,1.04,1.0,1.02,1.01,1.29
e_0,0.91,1.36,0.87,1.14,1.01,0.88,1.09,1.01,0.91,1.0,0.89,0.76,1.01,1.0,0.94,1.04
a_0,0.99,1.07,0.96,1.07,1.03,0.82,1.12,1.0,1.04,0.89,0.71,1.2,0.96,1.12,1.0,1.03
g_0,0.9,1.0,1.19,1.08,1.01,0.88,0.88,0.82,0.99,1.03,1.04,1.17,0.8,0.95,0.95,1.0
