,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,100.81,111.48,75.28,147.54,123.56,587.84,9886.1,19735.97,24470.6,37727.27,34962.28,39575.04,140062.17,93760.23,140335.97,282904.6
e_1,61.65,111.47,72.63,168.19,144.31,549.47,10994.15,19989.46,22827.13,52351.75,42661.99,39128.34,142912.01,114600.95,146851.35,289066.7
d_1,69.91,71.41,115.57,115.43,145.44,619.05,10675.09,16217.76,37789.75,26991.6,36101.32,42478.77,131307.29,131515.78,134780.96,235848.67
c_1,55.32,53.71,62.76,178.09,178.24,542.87,8586.46,15680.16,14767.24,23925.2,30219.78,25083.05,106726.43,93033.9,110254.53,228771.24
b_1,61.11,56.17,61.91,91.26,188.46,765.43,8666.67,14742.3,22100.58,26403.12,30506.35,26780.56,115830.61,99442.03,110284.21,219625.33
a_1,37.46,37.2,40.56,67.5,65.8,623.98,6027.16,8517.72,13613.97,15787.96,16521.75,21105.69,70261.65,67189.37,66274.62,142697.5
h_1,19.15,18.42,19.72,32.91,34.49,138.46,3375.68,5051.43,5504.86,7799.63,9439.67,8464.59,30812.72,28524.36,38635.22,89171.17
g_1,12.37,13.02,20.16,26.85,29.14,121.79,2107.48,5285.89,5174.78,5928.28,9942.22,7552.15,24679.99,25203.17,30968.89,53940.21
c_0,13.54,16.08,13.91,26.13,22.48,110.77,2186.54,3856.23,5925.35,7669.31,7762.51,11680.38,29295.81,25546.2,33255.59,59339.47
d_0,11.62,11.58,12.52,36.35,27.44,101.03,1911.41,3185.63,3138.03,7227.25,6343.48,6212.21,23765.06,22397.06,24744.99,54994.71
f_0,9.2,10.31,15.18,24.43,26.15,111.15,1829.62,3206.76,4561.82,5844.2,8047.65,6723.41,26855.48,36864.33,27019.54,47200.76
b_0,11.31,12.61,13.37,25.91,21.41,94.87,1851.39,3300.77,3737.03,6237.17,6513.93,7917.01,26389.32,23586.64,41224.46,50177.96
h_0,8.77,9.19,9.9,17.55,15.2,64.78,1115.61,2789.24,2939.69,3890.41,4052.62,4411.97,14392.57,12314.08,15476.98,38042.88
e_0,9.1,7.83,9.42,15.93,16.62,73.99,1314.86,2251.8,2957.38,3613.71,3250.11,4433.99,18813.42,19916.43,18209.85,34374.1
a_0,7.63,8.14,9.47,15.05,14.62,57.13,1142.74,2077.41,2918.82,3565.32,4509.52,3832.51,17593.29,13826.98,21899.4,34050.63
g_0,5.58,6.65,9.62,13.29,13.34,56.67,830.51,1827.57,2341.11,2651.74,4510.66,3848.0,12970.54,13331.86,14003.78,23170.77
