,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,6.02,2.72,1.33,1.39,1.39,1.41,5.97,5.27,7.42,6.72,3.39,6.79,10.17,5.4,8.0,8.8
e_1,1.77,6.03,1.9,1.26,1.32,1.7,5.23,4.72,13.62,6.56,7.75,7.72,9.88,4.67,7.79,10.99
c_1,1.54,1.31,6.35,1.5,2.92,1.11,6.05,5.32,6.94,3.15,6.87,5.1,11.2,7.99,7.11,11.14
d_1,1.74,1.33,1.18,6.54,1.43,1.19,5.87,5.4,4.26,15.05,7.99,7.88,11.51,8.08,7.08,13.98
b_1,1.51,1.41,1.66,1.38,7.43,3.16,6.09,4.55,5.93,5.93,6.44,3.32,9.46,7.17,6.49,10.01
a_1,1.62,1.7,1.83,1.51,1.19,11.33,5.48,6.21,7.46,5.09,8.03,8.82,10.5,9.07,3.41,8.73
h_1,2.61,1.8,1.84,2.0,1.72,1.65,16.27,9.2,8.15,7.85,7.93,8.14,8.69,9.81,7.78,17.05
g_1,1.69,1.44,1.74,3.21,1.6,1.64,6.31,20.17,7.3,8.63,14.38,9.5,11.2,8.81,9.84,8.21
d_0,1.78,1.84,3.46,0.91,1.92,1.92,6.18,7.3,14.66,6.04,9.25,8.68,12.89,8.94,10.55,11.56
c_0,2.2,1.89,1.35,2.19,1.06,1.83,6.16,6.86,9.11,17.49,8.18,20.02,15.46,10.79,11.01,16.53
f_0,1.11,1.53,2.27,2.17,2.12,2.02,6.42,6.63,9.73,8.76,18.73,10.78,14.67,20.16,8.97,12.95
b_0,1.94,1.98,1.97,2.4,0.86,1.27,7.48,8.35,9.37,9.68,8.65,20.48,16.7,9.06,20.79,13.69
h_0,2.52,1.75,1.94,2.08,1.88,1.58,4.87,9.86,8.25,8.67,8.89,9.01,9.84,9.65,10.55,17.42
e_0,2.04,1.08,1.84,2.2,1.97,2.0,6.64,8.81,8.38,10.59,10.75,12.36,15.71,24.84,11.45,13.26
a_0,1.78,1.6,2.16,2.44,1.74,1.02,8.01,8.24,9.6,9.69,8.55,9.13,16.46,8.67,24.39,15.19
g_0,1.5,1.58,1.6,2.96,2.15,1.68,6.08,5.54,8.12,9.83,14.22,10.13,14.64,12.19,9.88,8.22
