,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.48,0.14,0.18,0.13,0.15,0.13,0.21,0.24,0.26,0.28,0.18,0.16,0.12,0.22,,0.2
f_1,0.31,1.5,0.15,0.19,0.15,0.12,0.2,0.15,0.2,0.22,,0.16,0.16,0.16,0.11,0.2
d_1,0.16,0.16,1.51,0.14,0.17,0.19,0.23,0.2,0.3,,0.17,0.16,0.15,0.19,0.23,0.17
c_1,0.22,0.14,0.17,1.57,0.26,0.14,0.25,0.17,,0.16,0.2,0.19,0.18,0.21,0.17,0.18
b_1,0.19,0.21,0.17,0.12,1.6,0.19,0.24,0.17,0.21,0.21,0.24,,0.15,0.26,0.12,0.18
a_1,0.27,0.15,0.15,0.16,0.15,1.74,0.23,0.18,0.22,,0.19,0.16,,0.27,,0.18
h_1,0.36,0.44,0.3,0.34,0.3,0.33,1.62,0.53,0.44,0.52,0.42,0.5,0.45,,0.41,0.66
g_1,0.32,0.47,0.45,0.52,0.41,0.33,0.32,1.68,0.45,0.32,0.59,0.5,0.48,0.46,,
c_0,0.32,0.46,0.47,,0.36,0.39,0.57,0.57,1.4,0.57,0.5,0.94,0.5,0.54,0.49,0.62
d_0,0.43,0.51,,0.73,0.45,,0.53,0.55,0.6,1.44,0.42,0.5,0.49,0.76,0.41,0.52
f_0,0.47,,0.58,0.42,0.34,0.38,0.51,0.46,0.7,0.68,1.49,0.45,0.38,0.55,0.86,0.58
b_0,0.47,0.5,0.52,0.46,,0.41,0.59,0.53,0.43,0.63,0.71,1.48,0.76,0.5,0.35,0.57
a_0,0.53,0.53,0.54,0.48,0.38,,0.63,0.51,0.47,0.54,0.68,0.42,1.63,0.7,,0.46
h_0,0.55,0.92,0.67,0.56,0.57,0.49,,0.87,0.75,0.65,0.63,0.69,0.5,,0.45,0.68
e_0,,0.63,0.39,0.49,0.62,,0.65,,0.51,0.68,0.47,0.82,,0.83,1.65,0.61
g_0,0.63,0.51,0.95,0.63,0.5,0.54,0.49,,0.73,0.64,0.85,0.65,0.68,0.87,0.64,
