,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.67,1.54,1.31,1.37,1.17,1.07,0.51,0.66,0.45,0.45,0.51,0.76,0.33,0.36,0.46,0.53
e_1,0.89,0.66,1.58,1.55,1.47,1.62,0.71,0.73,0.51,0.64,0.48,0.67,0.39,0.93,0.59,0.44
d_1,1.54,1.46,0.65,1.4,1.26,1.26,0.63,0.42,0.61,0.69,0.52,0.46,0.39,0.46,0.39,0.3
c_1,1.54,1.25,1.71,0.63,1.99,1.27,0.63,0.72,0.77,0.34,0.5,0.49,0.41,0.56,0.49,0.4
b_1,1.76,1.78,1.39,0.9,0.63,1.71,0.7,0.72,0.61,0.62,0.76,0.54,0.6,0.55,0.51,0.45
a_1,2.25,1.74,1.84,1.86,1.15,0.56,0.89,0.92,0.75,0.75,0.83,0.73,0.66,0.65,1.31,0.54
h_1,2.38,2.06,2.18,2.17,2.06,1.62,0.58,1.02,0.8,0.72,0.72,0.85,0.82,0.63,0.71,0.74
g_1,2.28,2.15,2.65,2.23,2.43,2.29,0.93,0.55,0.74,0.83,0.8,0.94,0.53,0.77,0.77,0.76
c_0,2.61,2.85,1.42,3.82,2.21,1.8,1.19,1.32,0.62,1.3,1.15,0.85,0.7,0.86,0.86,0.63
d_0,2.56,1.48,3.66,2.92,2.53,2.28,1.27,1.34,0.75,0.63,0.82,0.78,0.69,1.04,1.02,0.76
b_0,2.51,2.14,2.26,3.15,3.63,2.11,1.23,1.12,0.54,0.97,0.62,0.84,0.79,0.87,0.95,0.69
f_0,4.0,1.98,2.4,2.93,2.35,2.37,1.06,0.7,0.87,1.04,0.85,0.6,0.76,1.49,0.83,0.48
h_0,3.0,2.82,2.75,3.06,2.5,2.48,1.63,1.37,0.99,0.99,0.87,0.88,1.11,0.78,0.93,0.77
e_0,4.6,3.02,2.47,3.18,3.01,2.11,1.63,1.34,0.92,0.97,1.04,0.53,0.95,0.56,0.89,0.7
a_0,3.16,2.76,2.9,3.48,3.42,3.12,1.2,1.31,0.89,1.08,0.59,0.9,0.86,0.92,0.57,0.8
g_0,3.29,2.85,3.13,3.28,3.28,2.82,0.95,1.59,1.02,1.05,1.15,1.16,0.83,1.04,0.81,1.14
