,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,2.84,1.18,0.5,0.56,0.59,0.47,0.89,0.86,0.81,0.88,1.02,0.37,0.84,0.75,0.57,0.76
e_1,0.66,2.88,0.53,0.7,0.54,0.58,0.93,0.85,1.76,0.93,1.01,1.02,0.98,1.07,0.39,0.91
d_1,0.71,0.51,3.22,0.45,0.59,0.54,0.92,1.89,0.3,0.82,1.2,1.05,1.28,1.09,1.11,1.16
c_1,0.56,0.56,0.56,3.26,1.18,0.48,0.8,0.32,0.87,0.79,0.66,1.13,0.84,0.72,0.96,0.67
b_1,0.62,0.55,0.71,0.6,3.39,1.16,0.7,0.76,0.94,0.86,0.32,0.78,0.62,0.99,0.98,1.04
a_1,0.74,0.43,0.72,0.69,0.52,4.63,1.03,0.88,0.88,0.89,0.95,0.87,0.38,1.2,1.15,1.08
h_1,1.03,0.73,0.75,0.78,0.58,0.63,3.02,1.09,1.1,1.28,1.3,1.18,1.25,0.63,1.23,1.61
c_0,0.8,0.79,1.0,0.48,0.56,0.72,1.15,2.18,0.93,1.2,2.18,1.06,1.43,1.21,1.27,1.35
d_0,0.72,0.74,0.42,1.54,0.74,0.65,1.04,0.74,2.15,1.05,1.05,1.19,0.97,1.21,1.21,1.01
g_1,0.57,0.55,1.24,0.82,0.64,0.63,1.04,0.98,0.9,3.57,1.01,1.85,1.25,1.34,1.2,0.75
b_0,0.71,0.81,0.87,0.79,0.32,0.69,1.21,1.17,1.05,1.23,2.45,1.27,2.42,1.27,1.15,1.33
f_0,0.45,0.63,0.79,0.91,0.84,0.81,1.32,1.06,0.99,1.06,0.98,2.86,0.96,1.19,2.84,1.3
a_0,0.93,0.75,0.96,0.71,0.65,0.45,1.32,1.16,1.28,1.03,1.12,0.96,3.07,1.45,1.12,1.26
h_0,0.98,0.79,0.81,0.72,0.64,0.88,0.56,1.19,1.25,1.37,1.26,1.06,1.07,0.7,1.39,1.46
e_0,0.86,0.32,0.71,0.87,0.85,0.85,1.31,1.34,1.05,1.28,1.41,1.13,1.34,1.6,3.8,1.64
g_0,0.64,0.68,1.26,0.81,0.57,0.72,1.16,1.28,0.97,0.6,1.06,1.82,0.97,1.06,1.28,0.64
