,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.46,17.72,39.44,32.01,26.88,33.89,10.58,9.76,5.79,7.9,6.5,8.66,9.28,4.15,,4.78
f_1,33.59,0.45,31.94,45.39,33.81,43.06,5.28,13.9,8.17,6.36,7.16,,5.97,3.04,7.1,4.2
d_1,37.4,44.45,0.43,28.64,35.74,43.83,9.35,5.43,,6.99,7.54,5.6,9.21,4.11,7.56,3.44
c_1,30.8,32.65,39.96,0.42,40.61,36.15,10.42,10.03,4.23,,9.63,7.63,7.06,3.65,7.02,5.2
b_1,41.07,33.17,37.55,17.43,0.39,30.73,10.92,11.14,8.53,9.94,,10.99,6.1,5.9,8.35,7.17
a_1,38.79,53.13,77.22,55.54,24.52,0.32,17.96,15.5,8.61,12.0,11.42,6.16,,5.77,6.87,
h_1,15.1,17.62,17.07,15.93,16.79,23.47,0.37,3.82,3.81,4.12,4.06,4.5,3.96,,2.73,2.67
g_1,22.25,27.04,19.03,17.66,15.11,17.21,3.79,0.35,4.67,4.26,3.91,5.97,3.51,3.25,3.17,
d_0,10.98,14.36,,13.61,15.62,18.65,3.67,4.3,0.5,3.58,2.62,2.25,5.0,2.34,2.8,2.2
c_0,13.26,20.99,8.17,,30.45,13.44,4.86,4.69,2.9,0.48,2.93,2.92,2.71,2.35,4.28,2.14
b_0,16.52,15.92,15.48,26.57,,15.87,4.42,6.02,3.26,1.76,0.45,3.67,2.97,2.37,3.44,2.79
f_0,25.2,,18.73,23.64,19.83,19.16,5.13,2.83,3.99,3.37,3.09,0.43,3.17,3.6,2.74,1.54
a_0,18.19,18.18,26.5,16.62,23.84,,5.41,6.12,4.61,3.5,2.31,3.3,0.43,2.27,,2.53
h_0,13.9,12.37,13.03,16.34,10.71,9.06,,4.01,2.16,2.53,2.73,2.49,2.07,,2.24,1.57
e_0,,31.76,19.44,20.61,31.42,21.26,5.41,5.22,4.64,3.45,3.97,2.06,,3.14,0.39,2.16
g_0,25.14,16.48,11.82,15.77,13.34,,3.67,,2.58,2.37,5.38,3.69,2.7,1.41,3.0,
