,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,5.74,1.54,1.36,2.04,1.42,1.49,5.53,5.4,13.1,7.36,7.27,6.93,9.22,12.05,3.7,8.82
f_1,2.64,5.97,1.44,1.43,1.26,1.33,5.06,4.04,6.39,6.54,6.96,3.04,6.32,9.04,5.42,9.79
d_1,1.31,1.58,6.54,1.22,1.43,1.45,6.2,6.08,4.34,13.86,8.86,8.47,7.9,10.67,8.54,13.53
c_1,1.43,1.4,1.58,6.74,2.93,1.31,5.47,5.27,6.28,2.87,4.72,6.43,7.33,9.62,7.58,9.7
b_1,1.43,1.68,1.5,1.41,7.62,2.92,4.91,6.05,6.45,4.62,3.01,7.31,5.19,12.26,6.86,10.96
a_1,1.44,1.64,1.44,1.5,1.59,11.13,5.86,6.05,6.02,7.46,7.45,7.46,5.51,12.49,9.68,11.16
h_1,1.59,2.58,1.94,1.92,1.72,1.45,16.54,9.56,7.09,7.61,8.23,9.2,9.1,7.68,9.67,19.05
g_1,1.72,1.42,2.83,2.04,1.73,1.43,6.83,19.41,9.01,7.93,7.67,14.05,9.05,14.62,9.84,7.85
d_0,1.93,1.71,1.22,3.54,1.83,1.65,6.84,6.73,15.96,6.27,7.69,9.05,9.31,12.92,10.85,12.3
c_0,1.96,1.81,2.01,1.4,1.54,1.66,7.07,6.94,9.54,17.93,18.54,12.25,12.9,16.29,10.41,15.1
b_0,1.93,1.96,1.94,2.1,1.11,1.35,6.86,6.85,9.38,9.08,19.35,10.51,21.65,15.03,10.29,13.24
f_0,1.54,1.09,2.0,1.96,1.51,2.68,6.45,6.92,11.12,10.47,8.31,22.53,11.89,16.45,24.24,15.62
a_0,1.89,2.15,1.98,1.78,2.09,0.99,7.87,5.91,9.07,8.88,9.42,11.12,20.78,14.54,12.58,15.0
h_0,1.67,2.67,2.07,2.05,1.69,1.79,4.27,6.89,7.82,7.54,8.38,8.17,7.83,8.49,11.66,17.99
e_0,1.33,2.24,2.02,2.11,1.73,1.9,9.04,6.74,7.85,8.06,8.79,10.43,9.22,14.08,25.3,16.61
g_0,1.37,1.82,3.37,1.9,1.5,1.57,6.41,5.41,7.0,9.51,7.87,15.46,8.18,12.7,11.63,9.43
