,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,5.65,2.73,1.33,1.46,1.35,1.28,5.71,6.54,5.0,6.47,3.01,6.7,9.2,5.65,5.38,8.86
e_1,1.58,5.74,1.91,1.26,1.36,1.55,5.17,13.03,5.74,7.38,8.19,7.93,12.57,5.28,7.7,9.15
c_1,1.66,1.17,6.61,1.53,3.04,1.47,5.13,5.55,4.69,2.29,6.38,5.26,10.5,5.68,7.26,12.31
d_1,1.48,1.48,1.19,6.81,1.41,1.4,5.86,3.4,6.51,15.3,9.66,8.68,10.35,9.19,7.77,11.24
b_1,1.65,1.34,1.45,1.38,7.95,3.13,5.22,7.26,5.36,5.67,6.46,3.02,11.16,7.28,7.53,11.75
a_1,1.62,1.33,1.94,1.73,1.36,10.4,5.11,8.15,4.6,6.22,7.0,6.68,12.2,8.83,4.41,10.61
h_1,2.71,1.67,2.18,1.67,1.63,1.54,17.21,7.43,9.51,8.65,7.44,9.39,7.16,7.28,8.1,17.54
d_0,2.03,1.68,3.28,1.06,2.05,1.86,7.66,15.53,6.03,7.53,9.85,8.2,11.57,7.8,8.32,14.6
g_1,1.82,1.51,1.7,3.15,1.56,1.65,6.65,6.78,20.72,8.51,13.41,9.08,10.52,10.58,10.18,8.16
c_0,1.71,2.12,1.28,2.02,1.5,1.43,7.91,8.5,8.63,17.63,9.99,18.36,13.26,12.02,11.94,13.45
f_0,1.08,1.39,2.07,2.26,2.02,2.29,7.86,8.89,7.12,10.8,18.61,9.62,12.49,23.11,9.2,15.83
b_0,1.99,1.98,2.07,1.88,1.06,1.59,7.7,8.33,8.68,9.07,8.86,20.76,14.01,10.16,20.13,16.11
h_0,2.65,1.67,1.98,1.88,1.83,1.96,5.59,8.54,8.79,7.59,7.59,9.77,9.33,9.85,9.73,17.65
e_0,1.52,1.29,2.17,1.96,2.07,1.81,9.04,10.99,7.93,9.77,9.89,11.43,16.47,27.15,13.12,17.09
a_0,2.38,1.59,2.22,2.14,1.71,1.09,7.22,8.82,6.26,8.45,9.32,9.81,14.05,9.54,27.71,15.53
g_0,1.16,1.74,1.88,2.92,1.94,1.8,7.83,6.08,4.94,9.34,13.9,9.79,13.12,11.46,9.28,10.0
