,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,0.42,0.45,0.57,0.7,0.61,0.6,0.33,0.34,0.33,0.26,0.25,0.3,0.23,0.32,0.27,0.25
f_1,0.65,0.41,0.56,0.59,0.59,0.52,0.25,0.29,0.34,0.25,0.26,0.25,0.18,0.21,0.24,0.24
d_1,0.63,0.67,0.38,0.57,0.59,0.51,0.3,0.33,0.22,0.29,0.26,0.25,0.22,0.28,0.24,0.16
c_1,0.48,0.6,0.69,0.38,0.66,0.56,0.32,0.18,0.34,0.31,0.26,0.28,0.23,0.26,0.25,0.22
b_1,0.62,0.59,0.66,0.39,0.37,0.71,0.32,0.27,0.34,0.33,0.4,0.28,0.25,0.28,0.29,0.22
a_1,0.6,0.67,0.74,0.58,0.37,0.3,0.37,0.27,0.32,0.32,0.33,0.28,0.25,0.31,0.48,0.26
h_1,0.55,0.64,0.55,0.58,0.56,0.49,0.23,0.28,0.35,0.24,0.25,0.22,0.24,0.23,0.23,0.21
d_0,0.42,0.57,0.67,0.77,0.59,0.59,0.32,0.23,0.32,0.25,0.26,0.25,0.22,0.25,0.23,0.26
g_1,0.54,0.62,0.6,0.58,0.53,0.54,0.23,0.27,0.21,0.25,0.26,0.27,0.19,0.26,0.22,0.23
c_0,0.65,0.64,0.41,0.73,0.55,0.47,0.32,0.35,0.28,0.22,0.29,0.26,0.21,0.28,0.26,0.2
b_0,0.59,0.56,0.5,0.76,0.63,0.47,0.32,0.28,0.3,0.17,0.2,0.25,0.22,0.26,0.28,0.23
f_0,0.53,0.74,0.55,0.63,0.55,0.53,0.34,0.25,0.23,0.26,0.26,0.2,0.21,0.29,0.23,0.17
h_0,0.55,0.61,0.55,0.58,0.5,0.52,0.34,0.27,0.29,0.26,0.26,0.26,0.24,0.26,0.24,0.25
e_0,0.6,0.75,0.48,0.7,0.6,0.47,0.3,0.25,0.26,0.25,0.23,0.17,0.22,0.17,0.24,0.2
a_0,0.6,0.56,0.49,0.66,0.66,0.58,0.35,0.28,0.28,0.21,0.16,0.31,0.19,0.27,0.17,0.21
g_0,0.55,0.57,0.6,0.61,0.56,0.46,0.27,0.25,0.3,0.28,0.28,0.26,0.18,0.25,0.24,0.23
