,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.65,1.05,0.84,1.04,0.87,0.85,0.34,0.41,0.33,0.39,0.32,0.34,0.3,0.22,0.27,0.3
e_1,0.71,0.64,0.94,1.04,1.09,0.86,0.45,0.48,0.36,0.42,0.36,0.41,0.36,0.29,0.49,0.3
d_1,1.03,1.11,0.64,0.94,0.9,0.83,0.38,0.33,0.37,0.42,0.35,0.32,0.31,0.27,0.3,0.19
c_1,1.0,0.86,1.11,0.64,1.06,0.8,0.44,0.39,0.42,0.25,0.33,0.32,0.33,0.28,0.3,0.28
b_1,1.13,0.96,1.09,0.69,0.62,1.15,0.5,0.49,0.52,0.36,0.48,0.34,0.32,0.36,0.39,0.31
a_1,1.22,1.2,1.2,1.22,0.76,0.57,0.65,0.59,0.46,0.52,0.55,0.46,0.54,0.32,0.41,0.35
h_1,1.76,1.53,1.59,1.64,1.58,1.23,0.53,0.8,0.56,0.55,0.59,0.54,0.49,0.51,0.51,0.47
g_1,1.84,1.7,1.73,2.01,1.6,1.38,0.6,0.5,0.58,0.6,0.57,0.59,0.55,0.38,0.58,0.5
c_0,1.9,1.88,1.29,2.24,1.51,1.38,0.78,0.84,0.53,0.85,0.74,0.6,0.62,0.53,0.63,0.47
d_0,1.64,1.22,2.01,2.12,1.85,1.51,0.8,0.95,0.59,0.55,0.66,0.63,0.63,0.56,0.61,0.61
b_0,1.81,1.73,1.61,2.3,2.02,1.43,0.78,0.81,0.46,0.71,0.52,0.62,0.7,0.54,0.61,0.44
f_0,2.23,1.8,1.85,2.19,1.83,1.57,0.9,0.66,0.71,0.78,0.64,0.53,0.64,0.61,0.82,0.43
a_0,2.09,1.9,1.95,2.2,2.49,1.95,0.98,0.84,0.64,0.73,0.5,0.69,0.52,0.66,0.67,0.57
h_0,2.29,2.0,2.04,2.14,1.75,1.69,1.03,0.97,0.74,0.76,0.67,0.65,0.61,0.68,0.68,0.64
e_0,2.86,2.23,2.09,2.24,1.91,1.69,1.0,0.83,0.78,0.89,0.78,0.46,0.67,0.57,0.5,0.56
g_0,2.21,2.09,2.38,2.15,2.0,1.69,0.78,1.15,0.77,0.78,0.8,0.84,0.79,0.51,0.74,0.66
