,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,2.38,1.9,1.09,1.2,1.1,1.06,2.22,2.45,2.2,2.46,1.67,2.54,2.75,2.32,2.04,3.15
e_1,1.1,2.4,1.56,1.08,1.17,1.29,2.33,4.29,2.52,2.68,3.11,2.86,3.88,2.42,3.05,2.97
c_1,1.36,0.96,2.57,1.32,2.11,1.13,2.17,1.93,2.15,1.29,2.39,2.06,3.25,2.18,2.56,3.62
d_1,1.22,1.27,1.02,2.61,1.18,1.12,2.54,1.89,2.36,4.57,3.23,3.18,3.27,3.18,2.74,3.02
b_1,1.36,1.16,1.0,1.17,2.82,2.16,2.33,2.75,2.42,2.35,2.45,1.66,3.43,2.64,2.84,3.44
a_1,1.35,1.12,1.5,1.4,0.95,3.23,2.34,3.04,2.12,2.58,2.61,2.61,3.61,3.09,2.22,3.33
h_1,1.81,1.25,1.56,1.24,1.22,1.15,4.15,2.51,3.34,2.82,2.54,3.1,2.43,2.39,2.74,4.36
d_0,1.47,1.08,2.19,1.05,1.44,1.29,2.95,3.94,2.55,2.68,3.27,2.94,3.37,2.61,2.83,4.44
g_1,1.38,1.17,1.3,1.93,1.19,1.3,2.34,2.48,4.55,2.7,4.03,2.9,2.86,3.27,3.27,2.74
c_0,1.31,1.49,1.27,1.21,1.21,1.12,2.96,2.99,3.16,4.2,3.15,5.24,3.81,3.61,3.83,3.72
f_0,1.08,1.07,1.5,1.48,1.47,1.54,3.04,2.92,2.41,3.35,4.32,3.14,3.6,5.94,3.07,3.69
b_0,1.45,1.4,1.62,1.28,1.08,1.25,2.82,2.83,3.07,2.5,2.88,4.56,3.66,3.08,5.3,4.15
h_0,1.8,1.22,1.43,1.36,1.31,1.36,2.59,2.93,3.27,2.62,2.55,3.14,3.05,3.01,3.08,4.5
e_0,1.27,1.09,1.59,1.35,1.46,1.29,3.37,3.55,2.83,2.94,2.61,3.39,4.29,5.21,3.84,4.16
a_0,1.72,1.2,1.58,1.48,1.28,0.96,2.83,2.96,2.37,2.67,3.08,2.68,3.77,2.91,5.25,4.19
g_0,0.99,1.33,1.34,1.9,1.37,1.3,2.68,2.2,2.32,3.09,3.96,3.1,3.4,3.31,2.95,3.16
